Filename,Element,P,Q,V,xi,R_a,R_b,R_c,R_d,R_e,R_f,L_a,L_b,L_c,L_d,L_e,L_f
iP01_iV01_iQ01_iX01__P-1000m_Q-1000m_V+1000m_xi-10000md.csv,Y22,-1.0,-1.0,1.0,-10.0,-350.8899465254097,-1.2306757507391068,-47.72453896402432,-1085.4958961702184,16.513284145973795,-1145.0636790032922,-0.1353877959682297,-0.0052044185089283,-1.0252728103066144,-72.99477298992954,1.2202671094884767,-112.5129661907252
iP01_iV01_iQ01_iX02__P-1000m_Q-1000m_V+1000m_xi-8947md.csv,Y22,-1.0,-1.0,1.0,-8.947,-396.4111274888597,-1.1892709038813305,-47.789200424967845,-1169.4711479127875,16.461425594622995,-1356.4736304845514,-0.1529517427884263,-0.0050293210868685,-1.026661941332115,-78.64173501815397,1.2164349655982034,-133.2859250754664
iP01_iV01_iQ01_iX03__P-1000m_Q-1000m_V+1000m_xi-7895md.csv,Y22,-1.0,-1.0,1.0,-7.895,-454.3934441684405,-1.1511165725880523,-49.06791687505859,-1279.7605225892776,16.42094913453624,-1636.328940722624,-0.1753237090933084,-0.0048679698065989,-1.054132782053942,-86.05820661183218,1.2134439132218575,-160.7842659744143
iP01_iV01_iQ01_iX04__P-1000m_Q-1000m_V+1000m_xi-6842md.csv,Y22,-1.0,-1.0,1.0,-6.842,-530.6057895393583,-1.115902801309866,-51.76418965725393,-1428.0347110832438,16.3917438020396,-2019.225366836952,-0.2047295714371028,-0.0047190538936142,-1.1120571797066794,-96.02898662398856,1.2112857535788877,-198.407337588316
iP01_iV01_iQ01_iX05__P-1000m_Q-1000m_V+1000m_xi-5789md.csv,Y22,-1.0,-1.0,1.0,-5.789,-635.0144752011869,-1.0833587636042112,-56.36330526438855,-1634.5257268905184,16.373729459160078,-2566.0231322129275,-0.2450147433882628,-0.0045814280469289,-1.2108606105169673,-109.9145915848592,1.209954563951334,-252.13521356288211
iP01_iV01_iQ01_iX06__P-1000m_Q-1000m_V+1000m_xi-4737md.csv,Y22,-1.0,-1.0,1.0,-4.737,-786.4472460521692,-1.053246918265845,-63.88535720221102,-1937.530910781881,16.36685697854136,-3393.597003683878,-0.3034437445207724,-0.0044540877258713,-1.372457883053514,-130.29034660123256,1.2094467144377177,-333.45190736601705
iP01_iV01_iQ01_iX07__P-1000m_Q-1000m_V+1000m_xi-3684md.csv,Y22,-1.0,-1.0,1.0,-3.684,-1025.2527836119516,-1.0253581857848244,-76.60373964480492,-2419.200707824888,16.371107656454967,-4755.989890881834,-0.3955847582928831,-0.0043361487517527,-1.64568863588175,-162.68050237434107,1.2097608231133008,-467.3194557605592
iP01_iV01_iQ01_iX08__P-1000m_Q-1000m_V+1000m_xi-2632md.csv,Y22,-1.0,-1.0,1.0,-2.632,-1456.343073266425,-0.9995079439169036,-100.51251954309969,-3293.223985244024,16.38649303414761,-7321.297777343061,-0.5619171504225469,-0.0042268303734903,-2.159324230686601,-221.45468959686085,1.2108977426052878,-719.3843928300626
iP01_iV01_iQ01_iX09__P-1000m_Q-1000m_V+1000m_xi-1579md.csv,Y22,-1.0,-1.0,1.0,-1.579,-2464.405347529248,-0.9755326852811096,-157.68691554691893,-5343.26694514936,16.41305510218038,-13558.965899627878,-0.9508691020629711,-0.0041254411328836,-3.387609614721773,-359.3109963851444,1.2128605756803768,-1332.292287496164
iP01_iV01_iQ01_iX10__P-1000m_Q-1000m_V+1000m_xi-526md.csv,Y22,-1.0,-1.0,1.0,-0.526,-7511.657718025263,-0.953287213437682,-447.0122135176816,-15622.5311301183,16.45086645153797,-45790.932281649286,-2.898306983697369,-0.0040313670070773,-9.60322463791192,-1050.5465019067508,1.2156546861697772,-4499.377895950684
