Filename,Element,P,Q,V,xi,R_a,R_b,R_c,R_d,R_e,R_f,L_a,L_b,L_c,L_d,L_e,L_f
iP06_iV01_iQ08_iX19__P-816m_Q-263m_V+1000m_xi+8947md.csv,Y11,-0.816,-0.263,1.0,8.947,-60.71524730221192,30.639948827975417,1.6604808311905064,138.83632908279702,621.1061469358651,-73.32171795744712,-0.0286364744219167,0.1295736238380327,0.0308764410692929,9.335845925318356,45.89730985019003,-7.201857653253734
iP06_iV01_iQ08_iX20__P-816m_Q-263m_V+1000m_xi+10000md.csv,Y11,-0.816,-0.263,1.0,10.0,-60.69265658078157,29.820600478322856,1.6747884081872346,140.352663193261,512.2856831040032,-73.7117361332408,-0.0286258194605163,0.1261086723968247,0.0311424887403566,9.437809590610945,37.85590474356329,-7.240166294665931
iP06_iV01_iQ09_iX01__P-816m_Q-158m_V+1000m_xi-10000md.csv,Y11,-0.816,-0.158,1.0,-10.0,-67.20105050004236,-16.163459274275795,1.615628673239265,131.06713950688606,821.0787332747495,-74.63285000099202,-0.0316955171769575,-0.0683538345212852,0.0300424205941359,8.81341805426713,60.674492367395295,-7.330640595088726
iP06_iV01_iQ09_iX02__P-816m_Q-158m_V+1000m_xi-8947md.csv,Y11,-0.816,-0.158,1.0,-8.947,-66.5038468583783,-18.842546338973836,1.6080337764778336,130.61297860432103,1052.0826291174708,-74.13942140883148,-0.0313666796091547,-0.0796834559087049,0.02990119440358,8.782878684656811,77.74476895232458,-7.28217470238994
iP06_iV01_iQ09_iX03__P-816m_Q-158m_V+1000m_xi-7895md.csv,Y11,-0.816,-0.158,1.0,-7.895,-65.86225775385086,-22.32778710617912,1.6015723057870077,130.24939488665734,1398.1647657908454,-73.70045707047294,-0.0310640727550686,-0.0944222297457928,0.029781044134297,8.75843002717055,103.31886760160666,-7.239058436598639
iP06_iV01_iQ09_iX04__P-816m_Q-158m_V+1000m_xi-6842md.csv,Y11,-0.816,-0.158,1.0,-6.842,-65.27433366230152,-27.00753562987016,1.5962264498050311,129.9753768193719,1951.5634775832843,-73.31472400733031,-0.0307867771175182,-0.1142124708545666,0.0296816385861627,8.740004098685379,144.21283561894677,-7.201170690282335
iP06_iV01_iQ09_iX05__P-816m_Q-158m_V+1000m_xi-5789md.csv,Y11,-0.816,-0.158,1.0,-5.789,-64.73831270203746,-33.55677306499966,1.5919815534800186,129.79017125159055,2921.1713494587607,-72.98114778921524,-0.0305339617012879,-0.141908614624609,0.0296027052502521,8.727550263655315,215.8630109345826,-7.168405929654343
iP06_iV01_iQ09_iX06__P-816m_Q-158m_V+1000m_xi-4737md.csv,Y11,-0.816,-0.158,1.0,-4.737,-64.25260900778797,-43.25705185069589,1.588826032198078,129.6932786726127,4873.068889759903,-72.69880614360817,-0.0303048785296784,-0.1829302325639662,0.029544028712065,8.72103491778187,360.10050385194364,-7.140673567262108
iP06_iV01_iQ09_iX07__P-816m_Q-158m_V+1000m_xi-3684md.csv,Y11,-0.816,-0.158,1.0,-3.684,-63.81580244021483,-58.86560644860786,1.5867513043139216,129.68445513483718,9877.604612552212,-72.46692348091776,-0.0300988577909772,-0.2489374244650579,0.029505449396938,8.720441602122722,729.915508800687,-7.117897424046877
iP06_iV01_iQ09_iX08__P-816m_Q-158m_V+1000m_xi-2632md.csv,Y11,-0.816,-0.158,1.0,-2.632,-63.42662951281604,-87.57173626160576,1.5857517414051254,129.7636822685164,32724.66977485684,-72.28486608236483,-0.0299153035591107,-0.3703330993445682,0.0294868626450333,8.725769066383718,2418.2107103587978,-7.100015254969732
iP06_iV01_iQ09_iX09__P-816m_Q-158m_V+1000m_xi-1579md.csv,Y11,-0.816,-0.158,1.0,-1.579,-63.08397543395807,-155.78220275866238,1.5858246357547825,129.93114835564148,-148366.48540147772,-72.15213814527978,-0.0297536900402541,-0.6587891074590798,0.0294882181066843,8.73703004555829,-10964.06877336798,-7.086978358533662
iP06_iV01_iQ09_iX10__P-816m_Q-158m_V+1000m_xi-526md.csv,Y11,-0.816,-0.158,1.0,-0.526,-62.78686717591203,-501.3472925859325,1.586970184739601,130.1873138575129,-94299.69552179617,-72.06837971764261,-0.0296135583038265,-2.12015319826504,0.029509519452088,8.75425549469997,-6968.551115328681,-7.078751380171466
iP06_iV01_iQ09_iX11__P-816m_Q-158m_V+1000m_xi+526md.csv,Y11,-0.816,-0.158,1.0,0.526,-62.53446749534664,540.9507447309352,1.5891914919673982,130.5328779398559,52715.13323757398,-72.0333639828025,-0.0294945134622464,2.287632681943649,0.0295508243924556,8.77749242834961,3895.38397378588,-7.075312040222383
iP06_iV01_iQ09_iX12__P-816m_Q-158m_V+1000m_xi+1579md.csv,Y11,-0.816,-0.158,1.0,1.579,-62.32606984105888,195.8763838914429,1.5924945851749386,130.96878745290135,12203.598026174672,-72.04699629985326,-0.0293962222691484,0.8283438405036764,0.0296122450128272,8.806804520726438,901.7950292531144,-7.076651042986771
iP06_iV01_iQ09_iX13__P-816m_Q-158m_V+1000m_xi+2632md.csv,Y11,-0.816,-0.158,1.0,2.632,-62.16109409489812,128.6840812788835,1.5968884510657773,131.4962612577129,5610.697973539953,-72.10931375791851,-0.0293184111105834,0.5441935570824953,0.0296939484198725,8.842273687317446,414.6078630461022,-7.082772033445304
iP06_iV01_iQ09_iX14__P-816m_Q-158m_V+1000m_xi+3684md.csv,Y11,-0.816,-0.158,1.0,3.684,-62.03908310125328,101.60409101683838,1.6023850874321834,132.116746286142,3249.889747377445,-72.22048473868709,-0.0292608643681431,0.4296746820206343,0.0297961577110955,8.883997265603375,240.15385220996552,-7.093691549175539
iP06_iV01_iQ09_iX15__P-816m_Q-158m_V+1000m_xi+4737md.csv,Y11,-0.816,-0.158,1.0,4.737,-61.95969994902672,88.37101109659234,1.6089995730838398,132.83197075190503,2126.829093955437,-72.3808103926473,-0.0292234231369985,0.3737131616726111,0.0299191532751445,8.932091472723146,157.1642225068476,-7.10943916920169
iP06_iV01_iQ09_iX16__P-816m_Q-158m_V+1000m_xi+5789md.csv,Y11,-0.816,-0.158,1.0,5.789,-61.92272597810746,82.03180796480494,1.616750156283916,133.64392923053254,1502.7355684883205,-72.59072625843453,-0.0292059842856459,0.3469052343279724,0.030063274436279,8.986690476432125,111.04622632854571,-7.130057672537979
iP06_iV01_iQ09_iX17__P-816m_Q-158m_V+1000m_xi+6842md.csv,Y11,-0.816,-0.158,1.0,6.842,-61.9280594898876,80.22888545848939,1.625658362591985,134.55498170936093,1119.5062972831015,-72.85080557064613,-0.0292084998477242,0.3392808350851966,0.0302289214596807,9.0479528146256,82.72710015611024,-7.15560336863567
iP06_iV01_iQ09_iX18__P-816m_Q-158m_V+1000m_xi+7895md.csv,Y11,-0.816,-0.158,1.0,7.895,-61.97571514871882,82.39000614437781,1.635749123210385,135.56766936533336,867.1027247876915,-73.16176040875202,-0.0292309767397045,0.3484200226339175,0.0304165579380592,9.116049544075562,64.07548028826363,-7.186146193714752
iP06_iV01_iQ09_iX19__P-816m_Q-158m_V+1000m_xi+8947md.csv,Y11,-0.816,-0.158,1.0,8.947,-62.06582406816365,89.20605143243863,1.6470509251698993,136.6849507794861,691.970362743657,-73.52444846486028,-0.0292734768015754,0.3772444731307673,0.03062671358432,9.191179535214632,51.133892539937406,-7.221770395509878
iP06_iV01_iQ09_iX20__P-816m_Q-158m_V+1000m_xi+10000md.csv,Y11,-0.816,-0.158,1.0,10.0,-62.19863458296044,103.26937541290432,1.659595984919919,137.91010942979764,565.4491452079018,-73.93987671212922,-0.02933611716094,0.4367170219128832,0.0308599874594578,9.273563545796511,41.78447329598315,-7.262574882656392
iP06_iV01_iQ10_iX01__P-816m_Q-53m_V+1000m_xi-10000md.csv,Y11,-0.816,-0.053,1.0,-10.0,-65.44650690460884,-26.303681483499357,1.6300232894924689,133.27139120466117,713.5512496785843,-74.40041997373069,-0.0308679829903185,-0.1112359341471793,0.0303100867496925,8.961639774225578,52.72863749212191,-7.307810687275049
iP06_iV01_iQ10_iX02__P-816m_Q-53m_V+1000m_xi-8947md.csv,Y11,-0.816,-0.053,1.0,-8.947,-64.95562737279826,-31.60131282736632,1.620832462139254,132.5761058353907,896.5563789630475,-73.93329031547161,-0.0306364586240093,-0.1336391468560993,0.030139184421995,8.914886350129517,66.25199727161929,-7.261927946810014
iP06_iV01_iQ10_iX03__P-816m_Q-53m_V+1000m_xi-7895md.csv,Y11,-0.816,-0.053,1.0,-7.895,-64.5136907803208,-38.74112561973042,1.612804781019306,131.97513952557048,1161.1226065108365,-73.52001183533456,-0.0304280182982439,-0.163832781389465,0.0299899106584166,8.874475276737934,85.80240173832838,-7.221334614650607
iP06_iV01_iQ10_iX04__P-816m_Q-53m_V+1000m_xi-6842md.csv,Y11,-0.816,-0.053,1.0,-6.842,-64.11943864775648,-48.70994370085165,1.6059179566075672,131.46683315044396,1564.0780207913922,-73.15942894049792,-0.0302420684485499,-0.2059900281722999,0.0298618509879242,8.840294980812361,115.57922158473858,-7.185917185935849
iP06_iV01_iQ10_iX05__P-816m_Q-53m_V+1000m_xi-5789md.csv,Y11,-0.816,-0.053,1.0,-5.789,-63.77175901114527,-63.27766506877089,1.6001529982934015,131.0497820075724,2222.0525814612074,-72.85054105814773,-0.0300780846147808,-0.2675956287332939,0.0297546522824,8.81225102414094,164.20095875534358,-7.155577380720287
iP06_iV01_iQ10_iX06__P-816m_Q-53m_V+1000m_xi-4737md.csv,Y11,-0.816,-0.053,1.0,-4.737,-63.46967965448383,-85.91235551012679,1.5954941022297076,130.72287133965153,3406.775589790502,-72.59249727050445,-0.029935608249209,-0.3633157254414041,0.0296680206712075,8.79026837678761,251.7472874918151,-7.130231621692305
iP06_iV01_iQ10_iX07__P-816m_Q-53m_V+1000m_xi-3684md.csv,Y11,-0.816,-0.053,1.0,-3.684,-63.21236225985077,-124.30815532670503,1.5919285587335956,130.48521807226487,5880.243584377257,-72.3845906967908,-0.0298142439574192,-0.5256881546630053,0.0296017198193239,8.774287638964996,434.5263826429921,-7.109810477865969
iP06_iV01_iQ10_iX08__P-816m_Q-53m_V+1000m_xi-2632md.csv,Y11,-0.816,-0.053,1.0,-2.632,-62.9990974139742,-199.104692707194,1.5894466783026149,130.33611232622755,12534.11655961501,-72.22625374991526,-0.0297136571431441,-0.8419960719310833,0.0295555695516261,8.764261252528314,926.2195243990708,-7.094258194113477
iP06_iV01_iQ10_iX09__P-816m_Q-53m_V+1000m_xi-1579md.csv,Y11,-0.816,-0.053,1.0,-1.579,-62.82930041964855,-387.9389094300553,1.5880417355073944,130.27518595599616,43820.47107862943,-72.11705665449524,-0.0296335720327152,-1.6405592125891255,0.0295294448095586,8.760164362630602,3238.132135722406,-7.0835325589333085
iP06_iV01_iQ10_iX10__P-816m_Q-53m_V+1000m_xi-526md.csv,Y11,-0.816,-0.053,1.0,-0.526,-62.70250786927446,-1401.4412061146866,1.5877099301931192,130.3022863533394,-1338600.504062286,-72.05670389322134,-0.02957377005896,-5.926570461832966,0.0295232749297029,8.761986678654548,-98947.21283178013,-7.07760454821012
iP06_iV01_iQ10_iX11__P-816m_Q-53m_V+1000m_xi+526md.csv,Y11,-0.816,-0.053,1.0,0.526,-62.61837494576864,1762.043155991632,1.5884503656136175,130.41744345454725,109777.3093505576,-72.04503155816215,-0.0295340885881752,7.451524098717958,0.0295370432371706,8.769730324644287,8112.010314314985,-7.076458056595897
iP06_iV01_iQ10_iX12__P-816m_Q-53m_V+1000m_xi+1579md.csv,Y11,-0.816,-0.053,1.0,1.579,-62.57667342380759,791.2847187270042,1.5902650432770016,130.62105560247903,19090.84651201817,-72.0820093744884,-0.0295144199774053,3.346272837059144,0.0295707869497624,8.783421860544967,1410.7332203789845,-7.0800901205870925
iP06_iV01_iQ10_iX13__P-816m_Q-53m_V+1000m_xi+2632md.csv,Y11,-0.816,-0.053,1.0,2.632,-62.57729035140139,727.6734450173489,1.5931588744522027,130.9136197890781,7751.531616954693,-72.16773650020484,-0.0295147109526057,3.077266407001628,0.0296245973919342,8.803094849943207,572.8065465098188,-7.088510473487108
iP06_iV01_iQ10_iX14__P-816m_Q-53m_V+1000m_xi+3684md.csv,Y11,-0.816,-0.053,1.0,3.684,-62.620227398723934,1112.595256549224,1.5971397084524812,131.29588710097818,4186.195926167777,-72.30244432498854,-0.0295349623015181,4.705066580333622,0.0296986205207221,8.828799915271553,309.34323137027127,-7.101741838231673
iP06_iV01_iQ10_iX15__P-816m_Q-53m_V+1000m_xi+4737md.csv,Y11,-0.816,-0.053,1.0,4.737,-62.70560086773703,-6175.864374289579,1.6022183779743806,131.76897240968268,2618.77749201275,-72.48649921741612,-0.0295752288782073,-26.11718224067972,0.0297930577688119,8.8606118377195,193.51730144579827,-7.119820208459034
iP06_iV01_iQ10_iX16__P-816m_Q-53m_V+1000m_xi+5789md.csv,Y11,-0.816,-0.053,1.0,5.789,-62.8336423626975,-553.5610236267072,1.608408761941086,132.33414675233698,1792.9376295008378,-72.72040164364869,-0.0296356199193101,-2.340960432088759,0.0299081672131082,8.898616154827875,132.49102470528666,-7.142794737948458
iP06_iV01_iQ10_iX17__P-816m_Q-53m_V+1000m_xi+6842md.csv,Y11,-0.816,-0.053,1.0,6.842,-63.00470012820556,-247.9743465953285,1.615727866481222,132.99298174523778,1304.9676229029308,-73.00479105856782,-0.0297162996751266,-1.048661500311428,0.0300442650805243,8.942918516066253,96.43196977038876,-7.170728237107616
