Frequency_Hz,Y11_Real,Y11_Imag,Y12_Real,Y12_Imag,Y21_Real,Y21_Imag,Y22_Real,Y22_Imag
0.1,-1.00012308861307,6.04284367086011e-06,-1.04353507224858e-16,5.61454625956338e-19,0.500018238706825,-3.30098473707262e-07,0.704099015221492,-0.00916320703878089
0.100693514841637,-1.0001247978457,6.16925633879772e-06,-1.04353537790065e-16,5.65354706073934e-19,0.500018492439393,-3.37007501117342e-07,0.704097805156568,-0.00922677376801004
0.10139183931163,-1.00012653075725,6.29831085653676e-06,-1.04353568769531e-16,5.69281965363027e-19,0.500018749700134,-3.44061043504665e-07,0.704096578178089,-0.00929078172494455
0.102095006765465,-1.00012828767422,6.43006234291033e-06,-1.04353600168711e-16,5.73236595048636e-19,0.500019010538061,-3.51262120448607e-07,0.704095334048658,-0.00935523397740709
0.102803050789954,-1.00013006892752,6.5645670634662e-06,-1.04353631993128e-16,5.77218787738443e-19,0.500019275002866,-3.58613814495541e-07,0.704094072527518,-0.00942013361465433
0.103516005204838,-1.00013187485262,6.70188245426723e-06,-1.04353664248371e-16,5.81228737433538e-19,0.50001954314493,-3.66119272491965e-07,0.704092793370508,-0.00948548374752839
0.104233904064403,-1.00013370578953,6.84206714610808e-06,-1.04353696940097e-16,5.85266639539255e-19,0.500019815015332,-3.73781706902894e-07,0.704091496330007,-0.00955128750860979
0.104956781659108,-1.00013556208294,6.98518098926626e-06,-1.04353730074036e-16,5.89332690876122e-19,0.500020090665859,-3.81604397199642e-07,0.704090181154889,-0.00961754805237139
0.105684672517218,-1.0001374440822,7.13128507864175e-06,-1.04353763655985e-16,5.93427089690899e-19,0.500020370149017,-3.8959069121984e-07,0.704088847590472,-0.00968426855533357
0.106417611406461,-1.00013935214144,7.28044177967374e-06,-1.04353797691812e-16,5.97550035667722e-19,0.500020653518039,-3.97744006623742e-07,0.704087495378463,-0.00975145221622033
0.10715563333568,-1.00014128661964,7.43271475446561e-06,-1.04353832187458e-16,6.01701729939347e-19,0.500020940826897,-4.06067832312354e-07,0.704086124256914,-0.00981910225611674
0.107898773556513,-1.00014324788063,7.58816898872861e-06,-1.04353867148934e-16,6.05882375098504e-19,0.500021232130309,-4.1456572993058e-07,0.704084733960161,-0.00988722191862743
0.108647067565072,-1.00014523629323,7.7468708191003e-06,-1.04353902582327e-16,6.10092175209344e-19,0.500021527483752,-4.23241335379895e-07,0.704083324218776,-0.00995581447003631
0.109400551103639,-1.00014725223127,7.90888796108752e-06,-1.04353938493794e-16,6.14331335819006e-19,0.500021826943473,-4.32098360345773e-07,0.704081894759507,-0.0100248831994674
0.110159260162376,-1.00014929607366,8.07428953750883e-06,-1.04353974889569e-16,6.18600063969282e-19,0.500022130566498,-4.41140593877148e-07,0.704080445305232,-0.0100944314190468
