Frequency_Hz,Y11_Real,Y11_Imag,Y12_Real,Y12_Imag,Y21_Real,Y21_Imag,Y22_Real,Y22_Imag
0.1,-0.37042102481171,2.48683496473223e-06,4.23092200978404e-17,-1.16641039298813e-19,1.2345906729649,-2.49970349038009e-07,0.320513560391597,-0.00189936306695814
0.100693514841637,-0.370421728218926,2.53885902610704e-06,4.23092704938594e-17,-1.17453308028789e-19,1.23459098972555,-2.55189256673921e-07,0.320513683417158,-0.0019125555410224
0.10139183931163,-0.370422441371096,2.59197035220107e-06,4.23093215861856e-17,-1.18271279775201e-19,1.23459131088985,-2.60516871552693e-07,0.320513808116226,-0.001925839925616
0.102095006765465,-0.370423164402587,2.64619162856569e-06,4.23093733843673e-17,-1.19094995541983e-19,1.23459163651895,-2.6595544912883e-07,0.320513934511013,-0.0019392168668368
0.102803050789954,-0.370423897449601,2.70154601282602e-06,4.2309425898082e-17,-1.19924496647526e-19,1.23459196667485,-2.71507291359566e-07,0.320514062624008,-0.00195268701544232
0.103516005204838,-0.3704246406502,2.75805714433988e-06,4.23094791371378e-17,-1.20759824727475e-19,1.23459230142039,-2.77174747627743e-07,0.320514192477985,-0.00196625102688565
0.104233904064403,-0.37042539414433,2.81574915425922e-06,4.2309533111475e-17,-1.21601021737559e-19,1.23459264081931,-2.82960215708047e-07,0.320514324096002,-0.00197990956135177
0.104956781659108,-0.370426158073845,2.87464667568862e-06,4.23095878311679e-17,-1.22448129956458e-19,1.23459298493622,-2.88866142787031e-07,0.320514457501405,-0.00199366328379412
0.105684672517218,-0.370426932582537,2.9347748540659e-06,4.23096433064267e-17,-1.23301191988696e-19,1.23459333383661,-2.94895026412001e-07,0.320514592717831,-0.00200751286397158
0.106417611406461,-0.370427717816155,2.99615935776473e-06,4.23096995475991e-17,-1.24160250767573e-19,1.23459368758691,-3.01049415580429e-07,0.320514729769215,-0.00202145897648565
