Filename,Element,P,Q,V,xi,R_a,R_b,R_c,R_d,R_e,R_f,L_a,L_b,L_c,L_d,L_e,L_f
iP01_iV01_iQ01_iX01__P-300m_Q-1000m_V+900m_xi-10000md.csv,Y21,-0.3,-1.0,0.9,-10.0,636.8168509172425,61.89113594134011,-9.637113586204922,-981.3463077399856,203.39151010661325,819.420797625633,0.7449367142877421,0.2928026449525339,-0.0934859557789567,-66.05259475733605,14.927730690770655,80.2317466009449
iP01_iV01_iQ01_iX02__P-300m_Q-1000m_V+900m_xi-8947md.csv,Y21,-0.3,-1.0,0.9,-8.947,502.2016862966536,155.1042113546631,-11.197108444695186,-1134.7337862266518,229.152942612712,902.612265498985,0.5874663548251624,0.7337871996883416,-0.1086188697009193,-76.37682063947861,16.818467066798622,88.37725229126124
iP01_iV01_iQ01_iX03__P-300m_Q-1000m_V+900m_xi-7895md.csv,Y21,-0.3,-1.0,0.9,-7.895,439.67293407022623,-717.1454290897867,-13.220171353275791,-1332.8205884002816,261.94128421965115,1008.8358503403458,0.5143213631922072,-3.392764977717782,-0.1282438298010405,-89.70967486048993,19.22493690013503,98.77789597452676
iP01_iV01_iQ01_iX04__P-300m_Q-1000m_V+900m_xi-6842md.csv,Y21,-0.3,-1.0,0.9,-6.842,413.3109120632948,-135.92315864655254,-15.92772672211668,-1596.7840471366767,305.0064937916273,1148.6726893018867,0.4834835516180597,-0.6430429779108996,-0.1545087896581971,-107.4765643094822,22.38566789799557,112.46970592313704
iP01_iV01_iQ01_iX05__P-300m_Q-1000m_V+900m_xi-5789md.csv,Y21,-0.3,-1.0,0.9,-5.789,412.1602912536636,-87.4682906018699,-19.70405647214257,-1963.31706007772,363.9628505390996,1340.403954198653,0.4821375764227014,-0.4138063787030022,-0.1911415213220638,-132.1472195388956,26.712714869064044,131.24264201445692
iP01_iV01_iQ01_iX06__P-300m_Q-1000m_V+900m_xi-4737md.csv,Y21,-0.3,-1.0,0.9,-4.737,435.7921088579515,-73.44427534503323,-25.277837645578163,-2501.8992028297907,449.416036426143,1618.5659446056238,0.5097816447814777,-0.347459741214453,-0.2452106422928151,-168.3981818144983,32.98447196014092,158.4782484242161
iP01_iV01_iQ01_iX07__P-300m_Q-1000m_V+900m_xi-3684md.csv,Y21,-0.3,-1.0,0.9,-3.684,493.8372873408049,-71.92535701832784,-34.2151375699359,-3361.6882356953693,584.0938308761521,2057.1711395543225,0.5776818337871041,-0.3402738446113166,-0.3319079731936175,-226.2689823899672,42.86902341162473,201.4232907817048
iP01_iV01_iQ01_iX08__P-300m_Q-1000m_V+900m_xi-2632md.csv,Y21,-0.3,-1.0,0.9,-2.632,618.2518958888126,-81.33428033919978,-50.59609170811792,-4930.972326877155,827.0904438776605,2848.6598365858104,0.7232197691724914,-0.3847868042234845,-0.4908133488002148,-331.8945754507476,60.70353380835601,278.9201285210067
iP01_iV01_iQ01_iX09__P-300m_Q-1000m_V+900m_xi-1579md.csv,Y21,-0.3,-1.0,0.9,-1.579,932.194159374693,-113.72883203695628,-89.39947645629698,-8634.48284455196,1395.0882333230588,4698.658482213969,1.090463691660361,-0.5380431675925922,-0.867230154329464,-581.1709799127916,102.39120322213944,460.0585899506125
iP01_iV01_iQ01_iX10__P-300m_Q-1000m_V+900m_xi-526md.csv,Y21,-0.3,-1.0,0.9,-0.526,2554.1713676493077,-293.9664279793243,-285.5073597188425,-27298.67311138737,4238.240106146364,13957.838319618604,2.987822988044254,-1.3907346557861076,-2.769597781170631,-1837.422928221084,311.061689570918,1366.6503827851002
