Filename,Element,P,Q,V,xi,R_a,R_b,R_c,R_d,R_e,R_f,L_a,L_b,L_c,L_d,L_e,L_f
iP01_iV01_iQ03_iX08__P-300m_Q+0m_V+900m_xi-2632md.csv,Y11,-0.3,0.0,0.9,-2.632,-22.538831072552192,-1198.2413914783692,2.716320724875966,258.2948644991826,18589.11755132116,-127.8816441410496,-0.0263655126884415,-5.668796401623244,0.0263499892261017,17.385346937951468,1364.3309955028124,-12.52124390394007
iP01_iV01_iQ03_iX09__P-300m_Q+0m_V+900m_xi-1579md.csv,Y11,-0.3,0.0,0.9,-1.579,-22.50840727887415,-3326.950585318345,2.7126541291669133,257.9462089099011,51613.173474384304,-127.70902451485586,-0.0263299234905959,-15.7395710418278,0.026314420982431,17.361879576488658,3788.100741479582,-12.504342241081847
iP01_iV01_iQ03_iX10__P-300m_Q+0m_V+900m_xi-526md.csv,Y11,-0.3,0.0,0.9,-0.526,-22.49321591478073,-29935.81823038713,2.7108233058649702,257.77211912609533,464402.271663448,-127.6228312217576,-0.0263121529105039,-141.6242669377356,0.0262966608652843,17.35016190914364,34084.32100372385,-12.495902818604293
iP01_iV01_iQ03_iX11__P-300m_Q+0m_V+900m_xi+526md.csv,Y11,-0.3,0.0,0.9,0.526,-22.49321591478073,-29935.81823038713,2.7108233058649702,257.77211912609533,464402.271663448,-127.6228312217576,-0.0263121529105039,-141.6242669377356,0.0262966608652843,17.35016190914364,34084.32100372385,-12.495902818604293
iP01_iV01_iQ03_iX12__P-300m_Q+0m_V+900m_xi+1579md.csv,Y11,-0.3,0.0,0.9,1.579,-22.50840727887415,-3326.950585318345,2.7126541291669133,257.9462089099011,51613.173474384304,-127.70902451485586,-0.0263299234905959,-15.7395710418278,0.026314420982431,17.361879576488658,3788.100741479582,-12.504342241081847
iP01_iV01_iQ03_iX13__P-300m_Q+0m_V+900m_xi+2632md.csv,Y11,-0.3,0.0,0.9,2.632,-22.538831072552192,-1198.2413914783692,2.716320724875966,258.2948644991826,18589.11755132116,-127.8816441410496,-0.0263655126884415,-5.668796401623244,0.0263499892261017,17.385346937951468,1364.3309955028124,-12.52124390394007
iP01_iV01_iQ03_iX14__P-300m_Q+0m_V+900m_xi+3684md.csv,Y11,-0.3,0.0,0.9,3.684,-22.584569662908123,-611.760565752839,2.721833019657852,258.81902811090566,9490.649668263926,-128.14115742523273,-0.0264190168555609,-2.8941965437478863,0.026403461891087,17.420627416638055,696.5574072765938,-12.546653564152962
iP01_iV01_iQ03_iX15__P-300m_Q+0m_V+900m_xi+4737md.csv,Y11,-0.3,0.0,0.9,4.737,-22.645747193184956,-370.4107467278742,2.729205974930067,259.52012210540767,5746.428833579774,-128.48826873313052,-0.0264905812124509,-1.7523873929793654,0.02647498411238,17.467816749796114,421.7538002469981,-12.58064018808004
iP01_iV01_iQ03_iX16__P-300m_Q+0m_V+900m_xi+5789md.csv,Y11,-0.3,0.0,0.9,5.789,-22.72253030046443,-248.24020661512452,2.73845967335621,260.40005537064087,3851.115870978073,-128.92392353039304,-0.0265804006881247,-1.1744070936002038,0.0265647507042251,17.527043422964265,282.6490682329276,-12.623296348827484
iP01_iV01_iQ03_iX17__P-300m_Q+0m_V+900m_xi+6842md.csv,Y11,-0.3,0.0,0.9,6.842,-22.81512908364185,-177.97443041209272,2.749619435503364,261.46123905221896,2761.0357277358708,-129.44931390938183,-0.0266887210524302,-0.8419846100090015,0.0266730072917666,17.598469717438004,202.64364851469048,-12.674738767636583
iP01_iV01_iQ03_iX18__P-300m_Q+0m_V+900m_xi+7895md.csv,Y11,-0.3,0.0,0.9,7.895,-22.92379833136626,-133.8895322908844,2.762715967830194,262.7065882058935,2077.1173798174696,-130.0658854629887,-0.0268158403524729,-0.633422033542719,0.0268000517466246,17.68229185219658,152.44809765980446,-12.735108986202151
iP01_iV01_iQ03_iX19__P-300m_Q+0m_V+900m_xi+8947md.csv,Y11,-0.3,0.0,0.9,8.947,-23.04883902233284,-104.42734181933272,2.777785543498592,264.1395585802393,1620.0506560957522,-130.77534594691878,-0.0269621106676299,-0.4940384664947134,0.0269462359408792,17.778742411093685,118.902109992653,-12.804574215999674
iP01_iV01_iQ03_iX20__P-300m_Q+0m_V+900m_xi+10000md.csv,Y11,-0.3,0.0,0.9,10.0,-23.190600113205964,-83.76951306502892,2.794870217849263,265.7641359936147,1299.572173484638,-131.57967518205317,-0.0271279402010299,-0.3963077203022778,0.0271119678373189,17.888089704767975,95.38089058353204,-12.883328305950212
iP01_iV01_iQ04_iX01__P-300m_Q+500m_V+900m_xi-10000md.csv,Y11,-0.3,0.5,0.9,-10.0,-16.603423300555054,4.427622076640731,4.124462635611651,363.0342838148688,427.96397948321817,-125.95419857054968,-0.0194223811471506,0.0209467710548946,0.0400098357371945,24.43516242473754,31.410018112998248,-12.332522401218483
iP01_iV01_iQ04_iX02__P-300m_Q+500m_V+900m_xi-8947md.csv,Y11,-0.3,0.5,0.9,-8.947,-17.019672313654787,4.900628352721243,3.9005237450568906,347.20547372989466,493.7797537031195,-125.76008070690185,-0.0199093016356668,0.0231845307374248,0.0378374901450917,23.369754686796774,36.24050571454077,-12.313515786268926
