Filename,Element,P,Q,V,xi,R_a,R_b,R_c,R_d,R_e,R_f,L_a,L_b,L_c,L_d,L_e,L_f
iP01_iV01_iQ01_iX19__P-300m_Q-1000m_V+900m_xi+8947md.csv,Y22,-0.3,-1.0,0.9,8.947,33.71164357861548,-1.229141361490122,4.625986898279635,524.8454726320118,45.27835222761064,2378.9889834481364,0.0394352645733527,-0.0058149820033351,0.0448749309363395,35.326372671950566,3.323162543847463,232.93336210235572
iP01_iV01_iQ01_iX20__P-300m_Q-1000m_V+900m_xi+10000md.csv,Y22,-0.3,-1.0,0.9,10.0,30.41865211247725,-1.1634179187273752,4.135487473242144,468.74937276407456,46.26432391995056,2259.4779911575088,0.0355831833361353,-0.005504048982255,0.040116783473566,31.550648480499937,3.3955270185399136,221.23171166961055
iP01_iV01_iQ02_iX01__P-300m_Q-500m_V+900m_xi-10000md.csv,Y22,-0.3,-0.5,0.9,-10.0,-54.20552131586528,-6.841854556072956,-9.59525692357488,-1122.1000278450977,37.99910262046012,-1736.9318781707482,-0.0634086282219614,-0.0323683364334665,-0.0930799202916023,-75.52646593170773,2.7889087895620364,-170.06778288476767
iP01_iV01_iQ02_iX02__P-300m_Q-500m_V+900m_xi-8947md.csv,Y22,-0.3,-0.5,0.9,-8.947,-60.80922911442281,-5.791006079730886,-10.559727739330585,-1231.689032903218,38.00923006082895,-2022.2603840869335,-0.0711335249210479,-0.0273968456272719,-0.1024358830729159,-82.90269805079035,2.789652083615764,-198.0050825595735
iP01_iV01_iQ02_iX03__P-300m_Q-500m_V+900m_xi-7895md.csv,Y22,-0.3,-0.5,0.9,-7.895,-69.20774482414213,-5.019121985220226,-11.79192291687803,-1371.9574378129762,38.04582175288187,-2392.9957258923578,-0.0809579551142508,-0.023745115843483,-0.1143889375688311,-92.34390347439542,2.792337696856104,-234.3048006998334
iP01_iV01_iQ02_iX04__P-300m_Q-500m_V+900m_xi-6842md.csv,Y22,-0.3,-0.5,0.9,-6.842,-80.23021353343357,-4.428840028735502,-13.414767232944453,-1556.9649408844805,38.10898119427363,-2890.1609868979663,-0.0938518375732528,-0.0209525331012582,-0.1301315300588766,-104.79641420646244,2.7969732255071538,-282.9836203016833
iP01_iV01_iQ02_iX05__P-300m_Q-500m_V+900m_xi-5789md.csv,Y22,-0.3,-0.5,0.9,-5.789,-95.30890209186306,-3.963380183883787,-15.64064721537677,-1811.0064348563576,38.19888722627166,-3585.014164389848,-0.1114906118838035,-0.0187504750582301,-0.1517239410796253,-121.89547482781109,2.8035717949277936,-351.01860825684884
iP01_iV01_iQ02_iX06__P-300m_Q-500m_V+900m_xi-4737md.csv,Y22,-0.3,-0.5,0.9,-4.737,-117.14934092958912,-3.5873973164776487,-18.87080623870453,-2179.984389142342,38.31579558815517,-4612.778111596681,-0.1370391580991539,-0.0169717263511823,-0.1830584792598042,-146.73069418263808,2.812152175649131,-451.6498060478097
iP01_iV01_iQ02_iX07__P-300m_Q-500m_V+900m_xi-3684md.csv,Y22,-0.3,-0.5,0.9,-3.684,-151.54928144626916,-3.277739885995074,-23.96513219362659,-2762.272864198451,38.46003979229818,-6264.255326951194,-0.1772795798519374,-0.0155067586575787,-0.2324765883943861,-185.9234487915921,2.8227388445939585,-613.3504878227078
iP01_iV01_iQ02_iX08__P-300m_Q-500m_V+900m_xi-2632md.csv,Y22,-0.3,-0.5,0.9,-2.632,-213.58315269405645,-3.0186101871239703,-33.15943676601376,-3813.662988701076,38.63203392529631,-9297.441043459792,-0.2498456687601085,-0.014280834136059,-0.3216670231634865,-256.69056297788734,2.835362193926036,-910.3380531227248
iP01_iV01_iQ02_iX09__P-300m_Q-500m_V+900m_xi-1579md.csv,Y22,-0.3,-0.5,0.9,-1.579,-358.5243476363836,-2.7988601985189003,-54.65185359161193,-6272.079190468518,38.832274720438825,-16495.893713064106,-0.41939522978346,-0.0132412122756227,-0.5301567447973321,-422.1619856755606,2.850058680789987,-1615.1583753465811
iP01_iV01_iQ02_iX10__P-300m_Q-500m_V+900m_xi-526md.csv,Y22,-0.3,-0.5,0.9,-0.526,-1083.834953889511,-2.6103989346119256,-162.226018913265,-18578.92847288439,39.06134492869784,-52928.90440475053,-1.2678503218280814,-0.0123496151881922,-1.5736926097905712,-1250.5130786825946,2.8668710759899296,-5182.41473526242
iP01_iV01_iQ02_iX11__P-300m_Q-500m_V+900m_xi+526md.csv,Y22,-0.3,-0.5,0.9,0.526,1092.721294752659,-2.4472124657255807,160.60391974776405,18355.65163315824,39.31991650859965,56912.488000916856,1.2782454009695148,-0.0115775913921567,1.5579572457197068,1235.4847136537376,2.885848695800926,5572.458360081839
iP01_iV01_iQ02_iX12__P-300m_Q-500m_V+900m_xi+1579md.csv,Y22,-0.3,-0.5,0.9,1.579,367.4178766955648,-2.304738211824003,53.028330815528506,6048.580622137995,39.60875624954752,20524.63825956773,0.4297987175463222,-0.0109035556397743,0.5144075708257746,407.1187111607946,2.907047820298436,2009.6238477093584
iP01_iV01_iQ02_iX13__P-300m_Q-500m_V+900m_xi+2632md.csv,Y22,-0.3,-0.5,0.9,2.632,222.49108334745503,-2.1794525848065858,31.533061188793177,3589.7304390846643,39.92872901701732,13419.58185480413,0.2602660032447627,-0.0103108380816411,0.3058901752585452,241.61807979128125,2.930531924032592,1313.948210708808
iP01_iV01_iQ02_iX14__P-300m_Q-500m_V+900m_xi+3684md.csv,Y22,-0.3,-0.5,0.9,3.684,160.47887769483057,-2.068591675745415,22.334463415381364,2537.6879712464315,40.28080465632475,10534.729170899984,0.187725258353905,-0.0097863628575037,0.2166580937871175,170.80705746441768,2.9563721879606093,1031.4843406528703
iP01_iV01_iQ02_iX15__P-300m_Q-500m_V+900m_xi+4737md.csv,Y22,-0.3,-0.5,0.9,4.737,126.1079431855642,-1.9699574648571303,17.234386917148978,1954.5247087771404,40.66606433965235,9098.116456736672,0.1475187672985048,-0.0093197312891598,0.1671842008296287,131.555423393703,2.984647964391532,890.8216351630213
iP01_iV01_iQ02_iX16__P-300m_Q-500m_V+900m_xi+5789md.csv,Y22,-0.3,-0.5,0.9,5.789,104.30395360296932,-1.8817804896190788,13.996997177092664,1584.4468678445223,41.08570724530468,8370.727198677601,0.1220128587556897,-0.0089025721728998,0.1357795202298863,106.64617143102087,3.0154472643290298,819.6009477336881
iP01_iV01_iQ02_iX17__P-300m_Q-500m_V+900m_xi+6842md.csv,Y22,-0.3,-0.5,0.9,6.842,89.26928764257234,-1.8026206724555665,11.76237737258636,1329.0736943132329,41.54106034266045,8092.9428687953,0.1044255812758013,-0.0085280726022116,0.1141023275354001,89.4574785289977,3.0488674819030392,792.4023206858418
iP01_iV01_iQ02_iX18__P-300m_Q-500m_V+900m_xi+7895md.csv,Y22,-0.3,-0.5,0.9,7.895,78.29857329675363,-1.731294487594927,10.129248824649288,1142.49773019371,42.03358582242087,8182.71201941913,0.091592240125372,-0.008190633399264,0.0982599716424126,76.89939723266781,3.0850159310056653,801.1918646342305
iP01_iV01_iQ02_iX19__P-300m_Q-500m_V+900m_xi+8947md.csv,Y22,-0.3,-0.5,0.9,8.947,69.9597317802312,-1.6668206541113415,8.885182992311297,1000.4161351945075,42.56489362434613,8665.58391091578,0.081837615712817,-0.0078856121924774,0.086191764461111,67.33614947923533,3.1240107733149216,848.4711822889906
iP01_iV01_iQ02_iX20__P-300m_Q-500m_V+900m_xi+10000md.csv,Y22,-0.3,-0.5,0.9,10.0,63.42383729380699,-1.6083790833020846,7.907205970510381,888.7608434025732,43.13675182476332,9695.171347436257,0.0741920457869675,-0.0076091291994305,0.076704783136767,59.8208394249821,3.1659817739088623,949.2809229327264
iP01_iV01_iQ03_iX01__P-300m_Q+0m_V+900m_xi-10000md.csv,Y22,-0.3,0.0,0.9,-10.0,-745.8894168071437,-2.604495030221873,89.89263350964333,8547.883574690226,40.40526531944542,-4232.054620142709,-0.872527808549683,-0.0123216842285375,0.8720140824289487,575.342156659593,2.965506863032874,-414.372120680568
iP01_iV01_iQ03_iX02__P-300m_Q+0m_V+900m_xi-8947md.csv,Y22,-0.3,0.0,0.9,-8.947,-929.8281228858104,-2.5885740943747675,112.06044326966078,10655.823922203048,40.15827315346269,-5275.692807902882,-1.0876959454156152,-0.0122463633921165,1.0870555327968785,717.223691306698,2.947379102382486,-516.5576095577001
iP01_iV01_iQ03_iX03__P-300m_Q+0m_V+900m_xi-7895md.csv,Y22,-0.3,0.0,0.9,-7.895,-1192.1614618800347,-2.57453099688663,143.67616829355197,13662.160595394922,39.940413244720055,-6764.129282970883,-1.3945686911933242,-0.0121799264779233,1.3937475983272725,919.5746255315069,2.931389477088668,-662.2945231259778
iP01_iV01_iQ03_iX04__P-300m_Q+0m_V+900m_xi-6842md.csv,Y22,-0.3,0.0,0.9,-6.842,-1584.6963799737075,-2.562326547055404,190.98344566819767,18160.63115350418,39.75107737558929,-8991.308441036976,-1.8537488647497933,-0.0121221880774816,1.8526574161995493,1222.3582563573796,2.9174933465991417,-880.3637685063642
iP01_iV01_iQ03_iX05__P-300m_Q+0m_V+900m_xi-5789md.csv,Y22,-0.3,0.0,0.9,-5.789,-2210.3476093431623,-2.551926942499572,266.3852886229193,25330.564107698738,39.58974149582659,-12541.151079399322,-2.5856242390050186,-0.0120729882740833,2.584101877559859,1704.9531734752236,2.905652250244079,-1227.938634384346
iP01_iV01_iQ03_iX06__P-300m_Q+0m_V+900m_xi-4737md.csv,Y22,-0.3,0.0,0.9,-4.737,-3298.1623713196504,-2.5433035683592324,397.4858666990079,37796.83334026649,39.455961429878016,-18713.233563505,-3.8581300676021377,-0.0120321916928233,3.855858481339444,2544.0347668996938,2.895833587092022,-1832.264219832361
iP01_iV01_iQ03_iX07__P-300m_Q+0m_V+900m_xi-3684md.csv,Y22,-0.3,0.0,0.9,-3.684,-5447.15750295557,-2.536432828801474,656.4771158449182,62424.37169095725,39.34937098913095,-30906.281275976267,-6.371985299411782,-0.0119996867034627,6.368233607785921,4201.66840329454,2.888010480478904,-3026.119099410512
iP01_iV01_iQ03_iX08__P-300m_Q+0m_V+900m_xi-2632md.csv,Y22,-0.3,0.0,0.9,-2.632,-10669.222488374216,-2.53129600911206,1285.8266727315831,122268.71707488492,39.2696801286103,-60535.42031848988,-12.480661485425657,-0.0119753847679944,12.473313133751953,8229.681165329459,2.8821616440888684,-5927.189653310396
iP01_iV01_iQ03_iX09__P-300m_Q+0m_V+900m_xi-1579md.csv,Y22,-0.3,0.0,0.9,-1.579,-29623.393294912785,-2.527879166984253,3570.1335573266447,339479.82038466085,39.216672384325285,-168078.25791380045,-34.65290410489762,-0.0119592199263382,34.632501202837155,22849.76519772766,2.878271190013739,-16457.004769661165
iP01_iV01_iQ03_iX10__P-300m_Q+0m_V+900m_xi-526md.csv,Y22,-0.3,0.0,0.9,-0.526,-266550.5527076217,-2.526173051916526,32123.97254436314,3054092.113063121,39.19020432455181,-1512359.64994514,-311.80596531438624,-0.0119511484150172,311.622380507986,205566.66782110863,2.8763285915531767,-148079.26144658754
iP01_iV01_iQ03_iX11__P-300m_Q+0m_V+900m_xi+526md.csv,Y22,-0.3,0.0,0.9,0.526,-266550.5527076217,-2.526173051916526,32123.97254436314,3054092.113063121,39.19020432455181,-1512359.64994514,-311.80596531438624,-0.0119511484150172,311.622380507986,205566.66782110863,2.8763285915531767,-148079.26144658754
iP01_iV01_iQ03_iX12__P-300m_Q+0m_V+900m_xi+1579md.csv,Y22,-0.3,0.0,0.9,1.579,-29623.393294912785,-2.527879166984253,3570.1335573266447,339479.82038466085,39.216672384325285,-168078.25791380045,-34.65290410489762,-0.0119592199263382,34.632501202837155,22849.76519772766,2.878271190013739,-16457.004769661165
iP01_iV01_iQ03_iX13__P-300m_Q+0m_V+900m_xi+2632md.csv,Y22,-0.3,0.0,0.9,2.632,-10669.222488374216,-2.53129600911206,1285.8266727315831,122268.71707488492,39.2696801286103,-60535.42031848988,-12.480661485425657,-0.0119753847679944,12.473313133751953,8229.681165329459,2.8821616440888684,-5927.189653310396
iP01_iV01_iQ03_iX14__P-300m_Q+0m_V+900m_xi+3684md.csv,Y22,-0.3,0.0,0.9,3.684,-5447.15750295557,-2.536432828801474,656.4771158449182,62424.37169095725,39.34937098913095,-30906.281275976267,-6.371985299411782,-0.0119996867034627,6.368233607785921,4201.66840329454,2.888010480478904,-3026.119099410512
iP01_iV01_iQ03_iX15__P-300m_Q+0m_V+900m_xi+4737md.csv,Y22,-0.3,0.0,0.9,4.737,-3298.1623713196504,-2.5433035683592324,397.4858666990079,37796.83334026649,39.455961429878016,-18713.233563505,-3.8581300676021377,-0.0120321916928233,3.855858481339444,2544.0347668996938,2.895833587092022,-1832.264219832361
iP01_iV01_iQ03_iX16__P-300m_Q+0m_V+900m_xi+5789md.csv,Y22,-0.3,0.0,0.9,5.789,-2210.3476093431623,-2.551926942499572,266.3852886229193,25330.564107698738,39.58974149582659,-12541.151079399322,-2.5856242390050186,-0.0120729882740833,2.584101877559859,1704.9531734752236,2.905652250244079,-1227.938634384346
iP01_iV01_iQ03_iX17__P-300m_Q+0m_V+900m_xi+6842md.csv,Y22,-0.3,0.0,0.9,6.842,-1584.6963799737075,-2.562326547055404,190.98344566819767,18160.63115350418,39.75107737558929,-8991.308441036976,-1.8537488647497933,-0.0121221880774816,1.8526574161995493,1222.3582563573796,2.9174933465991417,-880.3637685063642
iP01_iV01_iQ03_iX18__P-300m_Q+0m_V+900m_xi+7895md.csv,Y22,-0.3,0.0,0.9,7.895,-1192.1614618800347,-2.57453099688663,143.67616829355197,13662.160595394922,39.940413244720055,-6764.129282970883,-1.3945686911933242,-0.0121799264779233,1.3937475983272725,919.5746255315069,2.931389477088668,-662.2945231259778
iP01_iV01_iQ03_iX19__P-300m_Q+0m_V+900m_xi+8947md.csv,Y22,-0.3,0.0,0.9,8.947,-929.8281228858104,-2.5885740943747675,112.06044326966078,10655.823922203048,40.15827315346269,-5275.692807902882,-1.0876959454156152,-0.0122463633921165,1.0870555327968785,717.223691306698,2.947379102382486,-516.5576095577001
iP01_iV01_iQ03_iX20__P-300m_Q+0m_V+900m_xi+10000md.csv,Y22,-0.3,0.0,0.9,10.0,-745.8894168071437,-2.604495030221873,89.89263350964333,8547.883574690226,40.40526531944542,-4232.054620142709,-0.872527808549683,-0.0123216842285375,0.8720140824289487,575.342156659593,2.965506863032874,-414.372120680568
iP01_iV01_iQ04_iX01__P-300m_Q+500m_V+900m_xi-10000md.csv,Y22,-0.3,0.5,0.9,-10.0,63.42383729380699,-1.6083790833020846,7.907205970510381,888.7608434025732,43.13675182476332,9695.171347436257,0.0741920457869675,-0.0076091291994305,0.076704783136767,59.8208394249821,3.1659817739088623,949.2809229327264
iP01_iV01_iQ04_iX02__P-300m_Q+500m_V+900m_xi-8947md.csv,Y22,-0.3,0.5,0.9,-8.947,69.9597317802312,-1.6668206541113415,8.885182992311297,1000.4161351945075,42.56489362434613,8665.58391091578,0.081837615712817,-0.0078856121924774,0.086191764461111,67.33614947923533,3.1240107733149216,848.4711822889906
iP01_iV01_iQ04_iX03__P-300m_Q+500m_V+900m_xi-7895md.csv,Y22,-0.3,0.5,0.9,-7.895,78.29857329675363,-1.731294487594927,10.129248824649288,1142.49773019371,42.03358582242087,8182.71201941913,0.091592240125372,-0.008190633399264,0.0982599716424126,76.89939723266781,3.0850159310056653,801.1918646342305
iP01_iV01_iQ04_iX04__P-300m_Q+500m_V+900m_xi-6842md.csv,Y22,-0.3,0.5,0.9,-6.842,89.26928764257234,-1.8026206724555665,11.76237737258636,1329.0736943132329,41.54106034266045,8092.9428687953,0.1044255812758013,-0.0085280726022116,0.1141023275354001,89.4574785289977,3.0488674819030392,792.4023206858418
iP01_iV01_iQ04_iX05__P-300m_Q+500m_V+900m_xi-5789md.csv,Y22,-0.3,0.5,0.9,-5.789,104.30395360296932,-1.8817804896190788,13.996997177092664,1584.4468678445223,41.08570724530468,8370.727198677601,0.1220128587556897,-0.0089025721728998,0.1357795202298863,106.64617143102087,3.0154472643290298,819.6009477336881
iP01_iV01_iQ04_iX06__P-300m_Q+500m_V+900m_xi-4737md.csv,Y22,-0.3,0.5,0.9,-4.737,126.1079431855642,-1.9699574648571303,17.234386917148978,1954.5247087771404,40.66606433965235,9098.116456736672,0.1475187672985048,-0.0093197312891598,0.1671842008296287,131.555423393703,2.984647964391532,890.8216351630213
iP01_iV01_iQ04_iX07__P-300m_Q+500m_V+900m_xi-3684md.csv,Y22,-0.3,0.5,0.9,-3.684,160.47887769483057,-2.068591675745415,22.334463415381364,2537.6879712464315,40.28080465632475,10534.729170899984,0.187725258353905,-0.0097863628575037,0.2166580937871175,170.80705746441768,2.9563721879606093,1031.4843406528703
iP01_iV01_iQ04_iX08__P-300m_Q+500m_V+900m_xi-2632md.csv,Y22,-0.3,0.5,0.9,-2.632,222.49108334745503,-2.1794525848065858,31.533061188793177,3589.7304390846643,39.92872901701732,13419.58185480413,0.2602660032447627,-0.0103108380816411,0.3058901752585452,241.61807979128125,2.930531924032592,1313.948210708808
iP01_iV01_iQ04_iX09__P-300m_Q+500m_V+900m_xi-1579md.csv,Y22,-0.3,0.5,0.9,-1.579,367.4178766955648,-2.304738211824003,53.028330815528506,6048.580622137995,39.60875624954752,20524.63825956773,0.4297987175463222,-0.0109035556397743,0.5144075708257746,407.1187111607946,2.907047820298436,2009.6238477093584
iP01_iV01_iQ04_iX10__P-300m_Q+500m_V+900m_xi-526md.csv,Y22,-0.3,0.5,0.9,-0.526,1092.721294752659,-2.4472124657255807,160.60391974776405,18355.65163315824,39.31991650859965,56912.488000916856,1.2782454009695148,-0.0115775913921567,1.5579572457197068,1235.4847136537376,2.885848695800926,5572.458360081839
iP01_iV01_iQ04_iX11__P-300m_Q+500m_V+900m_xi+526md.csv,Y22,-0.3,0.5,0.9,0.526,-1083.834953889511,-2.6103989346119256,-162.226018913265,-18578.92847288439,39.06134492869784,-52928.90440475053,-1.2678503218280814,-0.0123496151881922,-1.5736926097905712,-1250.5130786825946,2.8668710759899296,-5182.41473526242
