Element,Branch_ID,P,Q,V,xi,R,L,Filename
Y22,a,-0.3,-1.0,0.9,-3.684,-76.84360123553776,-0.0898902403979785,iP01_iV01_iQ01_iX07__P-300m_Q-1000m_V+900m_xi-3684md.csv
Y22,b,-0.3,-1.0,0.9,-3.684,-4.631300593307532,-0.0219103599031682,iP01_iV01_iQ01_iX07__P-300m_Q-1000m_V+900m_xi-3684md.csv
Y22,c,-0.3,-1.0,0.9,-3.684,-11.76777095786696,-0.1141546486448827,iP01_iV01_iQ01_iX07__P-300m_Q-1000m_V+900m_xi-3684md.csv
Y22,d,-0.3,-1.0,0.9,-3.684,-1351.2402472220558,-90.94946795885312,iP01_iV01_iQ01_iX07__P-300m_Q-1000m_V+900m_xi-3684md.csv
Y22,e,-0.3,-1.0,0.9,-3.684,37.61001946370066,2.760352393149436,iP01_iV01_iQ01_iX07__P-300m_Q-1000m_V+900m_xi-3684md.csv
Y22,f,-0.3,-1.0,0.9,-3.684,-3485.34180828552,-341.25941348334464,iP01_iV01_iQ01_iX07__P-300m_Q-1000m_V+900m_xi-3684md.csv
Y22,a,-0.3,-1.0,0.9,-2.632,-107.8712937788364,-0.1261858680997936,iP01_iV01_iQ01_iX08__P-300m_Q-1000m_V+900m_xi-2632md.csv
Y22,b,-0.3,-1.0,0.9,-2.632,-3.73828955006884,-0.0176855869780125,iP01_iV01_iQ01_iX08__P-300m_Q-1000m_V+900m_xi-2632md.csv
Y22,c,-0.3,-1.0,0.9,-2.632,-16.368657485626205,-0.1587860904796868,iP01_iV01_iQ01_iX08__P-300m_Q-1000m_V+900m_xi-2632md.csv
Y22,d,-0.3,-1.0,0.9,-2.632,-1877.550593623304,-126.37443811599732,iP01_iV01_iQ01_iX08__P-300m_Q-1000m_V+900m_xi-2632md.csv
Y22,e,-0.3,-1.0,0.9,-2.632,38.0147646761944,2.79005829184303,iP01_iV01_iQ01_iX08__P-300m_Q-1000m_V+900m_xi-2632md.csv
Y22,f,-0.3,-1.0,0.9,-2.632,-5035.406427372469,-493.03050810126354,iP01_iV01_iQ01_iX08__P-300m_Q-1000m_V+900m_xi-2632md.csv
Y22,a,-0.3,-1.0,0.9,-1.579,-180.3535603097904,-0.2109742988643475,iP01_iV01_iQ01_iX09__P-300m_Q-1000m_V+900m_xi-1579md.csv
Y22,b,-0.3,-1.0,0.9,-1.579,-3.134913479702946,-0.0148310568968124,iP01_iV01_iQ01_iX09__P-300m_Q-1000m_V+900m_xi-1579md.csv
Y22,c,-0.3,-1.0,0.9,-1.579,-27.118361907704912,-0.263064864746488,iP01_iV01_iQ01_iX09__P-300m_Q-1000m_V+900m_xi-1579md.csv
Y22,d,-0.3,-1.0,0.9,-1.579,-3107.33499961194,-209.1489400019153,iP01_iV01_iQ01_iX09__P-300m_Q-1000m_V+900m_xi-1579md.csv
Y22,e,-0.3,-1.0,0.9,-1.579,38.4553396015458,2.8223938782886178,iP01_iV01_iQ01_iX09__P-300m_Q-1000m_V+900m_xi-1579md.csv
Y22,f,-0.3,-1.0,0.9,-1.579,-8673.577135503,-849.2538206729247,iP01_iV01_iQ01_iX09__P-300m_Q-1000m_V+900m_xi-1579md.csv
Y22,a,-0.3,-1.0,0.9,-0.526,-543.0214807747524,-0.6352166044183298,iP01_iV01_iQ01_iX10__P-300m_Q-1000m_V+900m_xi-526md.csv
Y22,b,-0.3,-1.0,0.9,-0.526,-2.700434934254316,-0.0127755692191737,iP01_iV01_iQ01_iX10__P-300m_Q-1000m_V+900m_xi-526md.csv
Y22,c,-0.3,-1.0,0.9,-0.526,-80.90871500469221,-0.7848645224945657,iP01_iV01_iQ01_iX10__P-300m_Q-1000m_V+900m_xi-526md.csv
Y22,d,-0.3,-1.0,0.9,-0.526,-9261.286891516876,-623.3600067277662,iP01_iV01_iQ01_iX10__P-300m_Q-1000m_V+900m_xi-526md.csv
Y22,e,-0.3,-1.0,0.9,-0.526,38.9333300153174,2.85747553985819,iP01_iV01_iQ01_iX10__P-300m_Q-1000m_V+900m_xi-526md.csv
Y22,f,-0.3,-1.0,0.9,-0.526,-26935.797949395124,-2637.358154693058,iP01_iV01_iQ01_iX10__P-300m_Q-1000m_V+900m_xi-526md.csv
Y22,a,-0.3,-1.0,0.9,0.526,545.2430382178466,0.6378153417157941,iP01_iV01_iQ01_iX11__P-300m_Q-1000m_V+900m_xi+526md.csv
Y22,b,-0.3,-1.0,0.9,0.526,-2.373038408778761,-0.0112266791051132,iP01_iV01_iQ01_iX11__P-300m_Q-1000m_V+900m_xi+526md.csv
Y22,c,-0.3,-1.0,0.9,0.526,80.50319789206975,0.7809307559656359,iP01_iV01_iQ01_iX11__P-300m_Q-1000m_V+900m_xi+526md.csv
Y22,d,-0.3,-1.0,0.9,0.526,9205.470255260776,619.6030862190725,iP01_iV01_iQ01_iX11__P-300m_Q-1000m_V+900m_xi+526md.csv
Y22,e,-0.3,-1.0,0.9,0.526,39.4504905259426,2.895432054930536,iP01_iV01_iQ01_iX11__P-300m_Q-1000m_V+900m_xi+526md.csv
Y22,f,-0.3,-1.0,0.9,0.526,27930.711123746143,2734.7728398262348,iP01_iV01_iQ01_iX11__P-300m_Q-1000m_V+900m_xi+526md.csv
Y22,a,-0.3,-1.0,0.9,1.579,182.5766922890473,0.2135748780256186,iP01_iV01_iQ01_iX12__P-300m_Q-1000m_V+900m_xi+1579md.csv
Y22,b,-0.3,-1.0,0.9,1.579,-2.1177961092050457,-0.01001914559838,iP01_iV01_iQ01_iX12__P-300m_Q-1000m_V+900m_xi+1579md.csv
Y22,c,-0.3,-1.0,0.9,1.579,26.71255041741699,0.2591282425725788,iP01_iV01_iQ01_iX12__P-300m_Q-1000m_V+900m_xi+1579md.csv
Y22,d,-0.3,-1.0,0.9,1.579,3051.474008661904,205.38904057283392,iP01_iV01_iQ01_iX12__P-300m_Q-1000m_V+900m_xi+1579md.csv
Y22,e,-0.3,-1.0,0.9,1.579,40.00875942288648,2.936405681298351,iP01_iV01_iQ01_iX12__P-300m_Q-1000m_V+900m_xi+1579md.csv
Y22,f,-0.3,-1.0,0.9,1.579,9671.790821338644,946.9916716470474,iP01_iV01_iQ01_iX12__P-300m_Q-1000m_V+900m_xi+1579md.csv
Y22,a,-0.3,-1.0,0.9,2.632,110.09757940455223,0.1287901363390715,iP01_iV01_iQ01_iX13__P-300m_Q-1000m_V+900m_xi+2632md.csv
Y22,b,-0.3,-1.0,0.9,2.632,-1.913483463902525,-0.0090525567317848,iP01_iV01_iQ01_iX13__P-300m_Q-1000m_V+900m_xi+2632md.csv
Y22,c,-0.3,-1.0,0.9,2.632,15.962256354725442,0.1548437484275622,iP01_iV01_iQ01_iX13__P-300m_Q-1000m_V+900m_xi+2632md.csv
Y22,d,-0.3,-1.0,0.9,2.632,1821.6059371557296,122.60890725050368,iP01_iV01_iQ01_iX13__P-300m_Q-1000m_V+900m_xi+2632md.csv
Y22,e,-0.3,-1.0,0.9,2.632,40.61027658844,2.980553473623062,iP01_iV01_iQ01_iX13__P-300m_Q-1000m_V+900m_xi+2632md.csv
Y22,f,-0.3,-1.0,0.9,2.632,6040.281603007152,591.4206033951442,iP01_iV01_iQ01_iX13__P-300m_Q-1000m_V+900m_xi+2632md.csv
