Element,P,Q,V,xi,R,L,Filename
Y11,-0.825,-0.5,1.05,-6.842,7835.84274221456,580.7067900495323,iP04_iV04_iQ02_iX04__P-825m_Q-500m_V+1050m_xi-6842md.csv
Y11,-0.825,-0.5,1.05,-0.526,-29651.638185426506,-2197.454353490996,iP04_iV04_iQ02_iX10__P-825m_Q-500m_V+1050m_xi-526md.csv
Y11,-0.825,-0.5,1.05,-2.632,-10407.884089428278,-771.3182684924585,iP04_iV04_iQ02_iX08__P-825m_Q-500m_V+1050m_xi-2632md.csv
Y11,-0.825,-0.5,1.05,-3.684,-11952.035480549148,-885.7538160091767,iP04_iV04_iQ02_iX07__P-825m_Q-500m_V+1050m_xi-3684md.csv
Y11,-0.825,-0.5,1.05,-1.579,-12590.357018557172,-933.0592807040337,iP04_iV04_iQ02_iX09__P-825m_Q-500m_V+1050m_xi-1579md.csv
Y11,-0.825,-0.5,1.05,-4.737,-23695.11051119136,-1756.0218769028413,iP04_iV04_iQ02_iX06__P-825m_Q-500m_V+1050m_xi-4737md.csv
Y11,-0.825,-0.5,1.05,0.526,24413.91495402165,1809.291662545969,iP04_iV04_iQ02_iX11__P-825m_Q-500m_V+1050m_xi+526md.csv
Y11,-0.825,-0.5,1.05,1.579,6919.040212520577,512.7634206362435,iP04_iV04_iQ02_iX12__P-825m_Q-500m_V+1050m_xi+1579md.csv
Y11,-0.825,-0.5,1.05,3.684,2284.576809662979,169.30779030303972,iP04_iV04_iQ02_iX14__P-825m_Q-500m_V+1050m_xi+3684md.csv
Y11,-0.825,-0.5,1.05,2.632,3612.1848432194847,267.6955483344975,iP04_iV04_iQ02_iX13__P-825m_Q-500m_V+1050m_xi+2632md.csv
Y11,-0.825,-0.5,1.05,4.737,1595.0423185506302,118.20705221733114,iP04_iV04_iQ02_iX15__P-825m_Q-500m_V+1050m_xi+4737md.csv
Y11,-0.825,-0.5,1.05,5.789,1184.4697334392151,87.77991324677612,iP04_iV04_iQ02_iX16__P-825m_Q-500m_V+1050m_xi+5789md.csv
Y11,-0.825,-0.5,1.05,6.842,917.9569474826252,68.02890677004679,iP04_iV04_iQ02_iX17__P-825m_Q-500m_V+1050m_xi+6842md.csv
Y11,-0.825,-0.5,1.05,8.947,601.8136499589359,44.5998310268732,iP04_iV04_iQ02_iX19__P-825m_Q-500m_V+1050m_xi+8947md.csv
Y11,-0.825,-0.5,1.05,7.895,734.2360667518719,54.41352897525011,iP04_iV04_iQ02_iX18__P-825m_Q-500m_V+1050m_xi+7895md.csv
Y11,-0.825,-0.5,1.05,10.0,503.0121382213874,37.277746006840886,iP04_iV04_iQ02_iX20__P-825m_Q-500m_V+1050m_xi+10000md.csv
Y11,-0.825,0.0,1.05,-10.0,773.516852839241,57.32459028929073,iP04_iV04_iQ03_iX01__P-825m_Q+0m_V+1050m_xi-10000md.csv
Y11,-0.825,0.0,1.05,-8.947,964.2686061111214,71.46101950272843,iP04_iV04_iQ03_iX02__P-825m_Q+0m_V+1050m_xi-8947md.csv
Y11,-0.825,0.0,1.05,-1.579,30720.67451134886,2276.679867765173,iP04_iV04_iQ03_iX09__P-825m_Q+0m_V+1050m_xi-1579md.csv
Y11,-0.825,0.0,1.05,-5.789,2292.2183652535577,169.87410138050373,iP04_iV04_iQ03_iX05__P-825m_Q+0m_V+1050m_xi-5789md.csv
Y11,-0.825,0.0,1.05,-7.895,1236.318520233494,91.62237635303732,iP04_iV04_iQ03_iX03__P-825m_Q+0m_V+1050m_xi-7895md.csv
Y11,-0.825,0.0,1.05,-6.842,1643.3929522893022,121.79027210282058,iP04_iV04_iQ03_iX04__P-825m_Q+0m_V+1050m_xi-6842md.csv
Y11,-0.825,0.0,1.05,-4.737,3420.325412668883,253.4770303060621,iP04_iV04_iQ03_iX06__P-825m_Q+0m_V+1050m_xi-4737md.csv
Y11,-0.825,0.0,1.05,-3.684,5648.917558858445,418.63584753112127,iP04_iV04_iQ03_iX07__P-825m_Q+0m_V+1050m_xi-3684md.csv
Y11,-0.825,0.0,1.05,-0.526,276419.0606472963,20485.12862056681,iP04_iV04_iQ03_iX10__P-825m_Q+0m_V+1050m_xi-526md.csv
Y11,-0.825,0.0,1.05,-2.632,11064.411137316854,819.9728969219981,iP04_iV04_iQ03_iX08__P-825m_Q+0m_V+1050m_xi-2632md.csv
Y11,-0.825,0.0,1.05,0.526,276419.0606472963,20485.12862056681,iP04_iV04_iQ03_iX11__P-825m_Q+0m_V+1050m_xi+526md.csv
Y11,-0.825,0.0,1.05,1.579,30720.67451134886,2276.679867765173,iP04_iV04_iQ03_iX12__P-825m_Q+0m_V+1050m_xi+1579md.csv
Y11,-0.825,0.0,1.05,3.684,5648.917558858445,418.63584753112127,iP04_iV04_iQ03_iX14__P-825m_Q+0m_V+1050m_xi+3684md.csv
Y11,-0.825,0.0,1.05,4.737,3420.325412668883,253.4770303060621,iP04_iV04_iQ03_iX15__P-825m_Q+0m_V+1050m_xi+4737md.csv
Y11,-0.825,0.0,1.05,5.789,2292.2183652535577,169.87410138050373,iP04_iV04_iQ03_iX16__P-825m_Q+0m_V+1050m_xi+5789md.csv
Y11,-0.825,0.0,1.05,2.632,11064.411137316854,819.9728969219981,iP04_iV04_iQ03_iX13__P-825m_Q+0m_V+1050m_xi+2632md.csv
Y11,-0.825,0.0,1.05,6.842,1643.3929522893022,121.79027210282058,iP04_iV04_iQ03_iX17__P-825m_Q+0m_V+1050m_xi+6842md.csv
Y11,-0.825,0.5,1.05,-10.0,503.0121382213874,37.277746006840886,iP04_iV04_iQ04_iX01__P-825m_Q+500m_V+1050m_xi-10000md.csv
Y11,-0.825,0.5,1.05,-7.895,734.2360667518719,54.41352897525011,iP04_iV04_iQ04_iX03__P-825m_Q+500m_V+1050m_xi-7895md.csv
Y11,-0.825,0.5,1.05,-8.947,601.8136499589359,44.5998310268732,iP04_iV04_iQ04_iX02__P-825m_Q+500m_V+1050m_xi-8947md.csv
Y11,-0.825,0.0,1.05,10.0,773.516852839241,57.32459028929073,iP04_iV04_iQ03_iX20__P-825m_Q+0m_V+1050m_xi+10000md.csv
Y11,-0.825,0.0,1.05,7.895,1236.318520233494,91.62237635303732,iP04_iV04_iQ03_iX18__P-825m_Q+0m_V+1050m_xi+7895md.csv
Y11,-0.825,0.5,1.05,-6.842,917.9569474826252,68.02890677004679,iP04_iV04_iQ04_iX04__P-825m_Q+500m_V+1050m_xi-6842md.csv
Y11,-0.825,0.0,1.05,8.947,964.2686061111214,71.46101950272843,iP04_iV04_iQ03_iX19__P-825m_Q+0m_V+1050m_xi+8947md.csv
Y11,-0.825,0.5,1.05,-5.789,1184.4697334392151,87.77991324677612,iP04_iV04_iQ04_iX05__P-825m_Q+500m_V+1050m_xi-5789md.csv
Y11,-0.825,0.5,1.05,-2.632,3612.1848432194847,267.6955483344975,iP04_iV04_iQ04_iX08__P-825m_Q+500m_V+1050m_xi-2632md.csv
Y11,-0.825,0.5,1.05,-4.737,1595.0423185506302,118.20705221733114,iP04_iV04_iQ04_iX06__P-825m_Q+500m_V+1050m_xi-4737md.csv
Y11,-0.825,0.5,1.05,-3.684,2284.576809662979,169.30779030303972,iP04_iV04_iQ04_iX07__P-825m_Q+500m_V+1050m_xi-3684md.csv
Y11,-0.825,0.5,1.05,-0.526,24413.91495402165,1809.291662545969,iP04_iV04_iQ04_iX10__P-825m_Q+500m_V+1050m_xi-526md.csv
Y11,-0.825,0.5,1.05,-1.579,6919.040212520577,512.7634206362435,iP04_iV04_iQ04_iX09__P-825m_Q+500m_V+1050m_xi-1579md.csv
Y11,-0.825,0.5,1.05,0.526,-29651.638185426506,-2197.454353490996,iP04_iV04_iQ04_iX11__P-825m_Q+500m_V+1050m_xi+526md.csv
Y11,-0.825,0.5,1.05,3.684,-11952.035480549148,-885.7538160091767,iP04_iV04_iQ04_iX14__P-825m_Q+500m_V+1050m_xi+3684md.csv
Y11,-0.825,0.5,1.05,1.579,-12590.357018557172,-933.0592807040337,iP04_iV04_iQ04_iX12__P-825m_Q+500m_V+1050m_xi+1579md.csv
Y11,-0.825,0.5,1.05,5.789,35388.59089773045,2622.6145760734275,iP04_iV04_iQ04_iX16__P-825m_Q+500m_V+1050m_xi+5789md.csv
Y11,-0.825,0.5,1.05,2.632,-10407.884089428278,-771.3182684924585,iP04_iV04_iQ04_iX13__P-825m_Q+500m_V+1050m_xi+2632md.csv
Y11,-0.825,0.5,1.05,4.737,-23695.11051119136,-1756.0218769028413,iP04_iV04_iQ04_iX15__P-825m_Q+500m_V+1050m_xi+4737md.csv
Y11,-0.825,0.5,1.05,7.895,3910.127519191093,289.7757936874347,iP04_iV04_iQ04_iX18__P-825m_Q+500m_V+1050m_xi+7895md.csv
Y11,-0.825,0.5,1.05,10.0,1673.4452209110696,124.01741746549342,iP04_iV04_iQ04_iX20__P-825m_Q+500m_V+1050m_xi+10000md.csv
Y11,-0.825,1.0,1.05,-10.0,372.6823025218967,27.61912716471307,iP04_iV04_iQ05_iX01__P-825m_Q+1000m_V+1050m_xi-10000md.csv
Y11,-0.825,0.5,1.05,8.947,2424.436566216866,179.67266395770275,iP04_iV04_iQ04_iX19__P-825m_Q+500m_V+1050m_xi+8947md.csv
Y11,-0.825,0.5,1.05,6.842,7835.84274221456,580.7067900495323,iP04_iV04_iQ04_iX17__P-825m_Q+500m_V+1050m_xi+6842md.csv
Y11,-0.825,1.0,1.05,-7.895,522.1750463612717,38.69789061602175,iP04_iV04_iQ05_iX03__P-825m_Q+1000m_V+1050m_xi-7895md.csv
Y11,-0.825,1.0,1.05,-8.947,437.40083533508505,32.41535532038038,iP04_iV04_iQ05_iX02__P-825m_Q+1000m_V+1050m_xi-8947md.csv
Y11,-0.825,1.0,1.05,-5.789,798.5557917912707,59.180201896192486,iP04_iV04_iQ05_iX05__P-825m_Q+1000m_V+1050m_xi-5789md.csv
Y11,-0.825,1.0,1.05,-6.842,636.8395355510064,47.19556549457536,iP04_iV04_iQ05_iX04__P-825m_Q+1000m_V+1050m_xi-6842md.csv
Y11,-0.825,1.0,1.05,-3.684,1431.822687442189,106.11100336499584,iP04_iV04_iQ05_iX07__P-825m_Q+1000m_V+1050m_xi-3684md.csv
Y11,-0.825,1.0,1.05,-4.737,1040.025039228756,77.07525549431782,iP04_iV04_iQ05_iX06__P-825m_Q+1000m_V+1050m_xi-4737md.csv
Y11,-0.825,1.0,1.05,-0.526,12770.944226063171,946.4424312245454,iP04_iV04_iQ05_iX10__P-825m_Q+1000m_V+1050m_xi-526md.csv
Y11,-0.825,1.0,1.05,-1.579,3898.5436908582647,288.9173253314232,iP04_iV04_iQ05_iX09__P-825m_Q+1000m_V+1050m_xi-1579md.csv
Y11,-0.825,1.0,1.05,-2.632,2158.4209168369807,159.9584995852318,iP04_iV04_iQ05_iX08__P-825m_Q+1000m_V+1050m_xi-2632md.csv
Y11,-0.825,1.0,1.05,0.526,-14071.127473361355,-1042.7977309695357,iP04_iV04_iQ05_iX11__P-825m_Q+1000m_V+1050m_xi+526md.csv
Y11,-0.825,1.0,1.05,1.579,-5224.573781194249,-387.1881453867224,iP04_iV04_iQ05_iX12__P-825m_Q+1000m_V+1050m_xi+1579md.csv
Y11,-0.825,1.0,1.05,3.684,-2903.933481655396,-215.20771606401743,iP04_iV04_iQ05_iX14__P-825m_Q+1000m_V+1050m_xi+3684md.csv
Y11,-0.825,1.0,1.05,2.632,-3539.2980048104505,-262.2939703557024,iP04_iV04_iQ05_iX13__P-825m_Q+1000m_V+1050m_xi+2632md.csv
Y11,-0.825,1.0,1.05,5.789,-2633.3581990864163,-195.1556446647211,iP04_iV04_iQ05_iX16__P-825m_Q+1000m_V+1050m_xi+5789md.csv
Y11,-0.825,1.0,1.05,4.737,-2654.099964102033,-196.69279442533025,iP04_iV04_iQ05_iX15__P-825m_Q+1000m_V+1050m_xi+4737md.csv
Y11,-0.825,1.0,1.05,6.842,-2830.778144836327,-209.78624533601743,iP04_iV04_iQ05_iX17__P-825m_Q+1000m_V+1050m_xi+6842md.csv
Y11,-0.825,1.0,1.05,8.947,-4714.279707802183,-349.3707363383283,iP04_iV04_iQ05_iX19__P-825m_Q+1000m_V+1050m_xi+8947md.csv
Y11,-0.825,1.0,1.05,10.0,-10239.884718651474,-758.8679846018922,iP04_iV04_iQ05_iX20__P-825m_Q+1000m_V+1050m_xi+10000md.csv
Y11,-0.825,1.0,1.05,7.895,-3362.9196803103086,-249.22274353047152,iP04_iV04_iQ05_iX18__P-825m_Q+1000m_V+1050m_xi+7895md.csv
Y11,-0.825,-1.0,1.1,-8.947,-8560.198271204075,-636.0356811340587,iP04_iV05_iQ01_iX02__P-825m_Q-1000m_V+1100m_xi-8947md.csv
Y11,-0.825,-1.0,1.1,-7.895,-5052.168817679129,-375.38377677366526,iP04_iV05_iQ01_iX03__P-825m_Q-1000m_V+1100m_xi-7895md.csv
Y11,-0.825,-1.0,1.1,-10.0,-94515.62279342864,-7022.650832899134,iP04_iV05_iQ01_iX01__P-825m_Q-1000m_V+1100m_xi-10000md.csv
Y11,-0.825,-1.0,1.1,-6.842,-3939.8659793901625,-292.73799997975954,iP04_iV05_iQ01_iX04__P-825m_Q-1000m_V+1100m_xi-6842md.csv
Y11,-0.825,-1.0,1.1,-5.789,-3516.332383516411,-261.2688166133525,iP04_iV05_iQ01_iX05__P-825m_Q-1000m_V+1100m_xi-5789md.csv
Y11,-0.825,-1.0,1.1,-4.737,-3452.94244075189,-256.5588449865008,iP04_iV05_iQ01_iX06__P-825m_Q-1000m_V+1100m_xi-4737md.csv
Y11,-0.825,-1.0,1.1,-0.526,-17434.883329704728,-1295.4381633448368,iP04_iV05_iQ01_iX10__P-825m_Q-1000m_V+1100m_xi-526md.csv
Y11,-0.825,-1.0,1.1,-2.632,-4464.2155832617655,-331.6979705534331,iP04_iV05_iQ01_iX08__P-825m_Q-1000m_V+1100m_xi-2632md.csv
Y11,-0.825,-1.0,1.1,-1.579,-6524.574248867267,-484.78574473086894,iP04_iV05_iQ01_iX09__P-825m_Q-1000m_V+1100m_xi-1579md.csv
Y11,-0.825,-1.0,1.1,-3.684,-3710.973167941348,-275.7309185711053,iP04_iV05_iQ01_iX07__P-825m_Q-1000m_V+1100m_xi-3684md.csv
Y11,-0.825,-1.0,1.1,1.579,4774.770125571673,354.77264485321143,iP04_iV05_iQ01_iX12__P-825m_Q-1000m_V+1100m_xi+1579md.csv
Y11,-0.825,-1.0,1.1,0.526,15723.657258435014,1168.2915855796198,iP04_iV05_iQ01_iX11__P-825m_Q-1000m_V+1100m_xi+526md.csv
Y11,-0.825,-1.0,1.1,3.684,1739.3491731300885,129.23627414454276,iP04_iV05_iQ01_iX14__P-825m_Q-1000m_V+1100m_xi+3684md.csv
Y11,-0.825,-1.0,1.1,5.789,964.1794552864128,71.63999159616797,iP04_iV05_iQ01_iX16__P-825m_Q-1000m_V+1100m_xi+5789md.csv
Y11,-0.825,-1.0,1.1,4.737,1259.2998960633383,93.5678873040665,iP04_iV05_iQ01_iX15__P-825m_Q-1000m_V+1100m_xi+4737md.csv
Y11,-0.825,-1.0,1.1,2.632,2631.8980767358,195.554010110164,iP04_iV05_iQ01_iX13__P-825m_Q-1000m_V+1100m_xi+2632md.csv
Y11,-0.825,-1.0,1.1,6.842,767.0022223373253,56.98942525998086,iP04_iV05_iQ01_iX17__P-825m_Q-1000m_V+1100m_xi+6842md.csv
Y11,-0.825,-1.0,1.1,8.947,524.5879187116175,38.97767576623368,iP04_iV05_iQ01_iX19__P-825m_Q-1000m_V+1100m_xi+8947md.csv
Y11,-0.825,-1.0,1.1,10.0,446.1696617369609,33.151080656163856,iP04_iV05_iQ01_iX20__P-825m_Q-1000m_V+1100m_xi+10000md.csv
Y11,-0.825,-1.0,1.1,7.895,627.5061495526608,46.62465607409384,iP04_iV05_iQ01_iX18__P-825m_Q-1000m_V+1100m_xi+7895md.csv
Y11,-0.825,-0.5,1.1,-10.0,1810.315901508751,134.5092099611699,iP04_iV05_iQ02_iX01__P-825m_Q-500m_V+1100m_xi-10000md.csv
Y11,-0.825,-0.5,1.1,-8.947,2571.0263627853374,191.03114786954555,iP04_iV05_iQ02_iX02__P-825m_Q-500m_V+1100m_xi-8947md.csv
Y11,-0.825,-0.5,1.1,-5.789,21740.37588108995,1615.342850018447,iP04_iV05_iQ02_iX05__P-825m_Q-500m_V+1100m_xi-5789md.csv
Y11,-0.825,-0.5,1.1,-7.895,4000.7771883672326,297.26379537723125,iP04_iV05_iQ02_iX03__P-825m_Q-500m_V+1100m_xi-7895md.csv
Y11,-0.825,-0.5,1.1,-4.737,-53524.34847224859,-3976.9391884626266,iP04_iV05_iQ02_iX06__P-825m_Q-500m_V+1100m_xi-4737md.csv
Y11,-0.825,-0.5,1.1,-6.842,7375.581460954732,548.0168517517485,iP04_iV05_iQ02_iX04__P-825m_Q-500m_V+1100m_xi-6842md.csv
Y11,-0.825,-0.5,1.1,0.526,29976.12387472936,2227.270957679172,iP04_iV05_iQ02_iX11__P-825m_Q-500m_V+1100m_xi+526md.csv
Y11,-0.825,-0.5,1.1,-2.632,-13695.9720467869,-1017.6314195978229,iP04_iV05_iQ02_iX08__P-825m_Q-500m_V+1100m_xi-2632md.csv
Y11,-0.825,-0.5,1.1,-1.579,-15976.602636585214,-1187.085720394084,iP04_iV05_iQ02_iX09__P-825m_Q-500m_V+1100m_xi-1579md.csv
Y11,-0.825,-0.5,1.1,-3.684,-17131.690810949694,-1272.9106030125122,iP04_iV05_iQ02_iX07__P-825m_Q-500m_V+1100m_xi-3684md.csv
Y11,-0.825,-0.5,1.1,1.579,8420.419288048555,625.6498975863146,iP04_iV05_iQ02_iX12__P-825m_Q-500m_V+1100m_xi+1579md.csv
Y11,-0.825,-0.5,1.1,-0.526,-36876.53063585897,-2739.9823633526926,iP04_iV05_iQ02_iX10__P-825m_Q-500m_V+1100m_xi-526md.csv
Y11,-0.825,-0.5,1.1,2.632,4367.487580322606,324.5109348530753,iP04_iV05_iQ02_iX13__P-825m_Q-500m_V+1100m_xi+2632md.csv
Y11,-0.825,-0.5,1.1,4.737,1911.4356348518,142.02255979878015,iP04_iV05_iQ02_iX15__P-825m_Q-500m_V+1100m_xi+4737md.csv
Y11,-0.825,-0.5,1.1,3.684,2748.5519716993767,204.22157042594463,iP04_iV05_iQ02_iX14__P-825m_Q-500m_V+1100m_xi+3684md.csv
Y11,-0.825,-0.5,1.1,5.789,1414.894186245144,105.1287781706762,iP04_iV05_iQ02_iX16__P-825m_Q-500m_V+1100m_xi+5789md.csv
Y11,-0.825,-0.5,1.1,6.842,1093.6384634643612,81.2589920331186,iP04_iV05_iQ02_iX17__P-825m_Q-500m_V+1100m_xi+6842md.csv
Y11,-0.825,-0.5,1.1,8.947,714.0364770165402,53.053990210271806,iP04_iV05_iQ02_iX19__P-825m_Q-500m_V+1100m_xi+8947md.csv
Y11,-0.825,-0.5,1.1,7.895,872.8107561307088,64.85115936005458,iP04_iV05_iQ02_iX18__P-825m_Q-500m_V+1100m_xi+7895md.csv
Y11,-0.825,-0.5,1.1,10.0,595.8304427584222,44.27110307832504,iP04_iV05_iQ02_iX20__P-825m_Q-500m_V+1100m_xi+10000md.csv
Y11,-0.825,0.0,1.1,-7.895,1432.9981428071976,106.47392916460274,iP04_iV05_iQ03_iX03__P-825m_Q+0m_V+1100m_xi-7895md.csv
Y11,-0.825,0.0,1.1,-8.947,1117.6691397499528,83.04450781253051,iP04_iV05_iQ03_iX02__P-825m_Q+0m_V+1100m_xi-8947md.csv
Y11,-0.825,0.0,1.1,-5.789,2656.8754234578228,197.4098640852609,iP04_iV05_iQ03_iX05__P-825m_Q+0m_V+1100m_xi-5789md.csv
Y11,-0.825,0.0,1.1,-10.0,896.5716843202991,66.6166323178138,iP04_iV05_iQ03_iX01__P-825m_Q+0m_V+1100m_xi-10000md.csv
Y11,-0.825,0.0,1.1,-6.842,1904.8318123601043,141.53188487093257,iP04_iV05_iQ03_iX04__P-825m_Q+0m_V+1100m_xi-6842md.csv
Y11,-0.825,0.0,1.1,-4.737,3964.446189066876,294.5643447110881,iP04_iV05_iQ03_iX06__P-825m_Q+0m_V+1100m_xi-4737md.csv
Y11,-0.825,0.0,1.1,-3.684,6547.576812333416,486.49486875662274,iP04_iV05_iQ03_iX07__P-825m_Q+0m_V+1100m_xi-3684md.csv
Y11,-0.825,0.0,1.1,-2.632,12824.579196235987,952.8855975633572,iP04_iV05_iQ03_iX08__P-825m_Q+0m_V+1100m_xi-2632md.csv
Y11,-0.825,0.0,1.1,-1.579,35607.8248782885,2645.715274546388,iP04_iV05_iQ03_iX09__P-825m_Q+0m_V+1100m_xi-1579md.csv
Y11,-0.825,0.0,1.1,1.579,35607.8248782885,2645.715274546388,iP04_iV05_iQ03_iX12__P-825m_Q+0m_V+1100m_xi+1579md.csv
Y11,-0.825,0.0,1.1,-0.526,320391.2209486221,23805.515560257383,iP04_iV05_iQ03_iX10__P-825m_Q+0m_V+1100m_xi-526md.csv
Y11,-0.825,0.0,1.1,0.526,320391.2209486221,23805.515560257383,iP04_iV05_iQ03_iX11__P-825m_Q+0m_V+1100m_xi+526md.csv
Y11,-0.825,0.0,1.1,3.684,6547.576812333416,486.49486875662274,iP04_iV05_iQ03_iX14__P-825m_Q+0m_V+1100m_xi+3684md.csv
Y11,-0.825,0.0,1.1,2.632,12824.579196235987,952.8855975633572,iP04_iV05_iQ03_iX13__P-825m_Q+0m_V+1100m_xi+2632md.csv
Y11,-0.825,0.0,1.1,5.789,2656.8754234578228,197.4098640852609,iP04_iV05_iQ03_iX16__P-825m_Q+0m_V+1100m_xi+5789md.csv
Y11,-0.825,0.0,1.1,4.737,3964.446189066876,294.5643447110881,iP04_iV05_iQ03_iX15__P-825m_Q+0m_V+1100m_xi+4737md.csv
Y11,-0.825,0.0,1.1,8.947,1117.6691397499528,83.04450781253051,iP04_iV05_iQ03_iX19__P-825m_Q+0m_V+1100m_xi+8947md.csv
Y11,-0.825,0.0,1.1,6.842,1904.8318123601043,141.53188487093257,iP04_iV05_iQ03_iX17__P-825m_Q+0m_V+1100m_xi+6842md.csv
Y11,-0.825,0.0,1.1,7.895,1432.9981428071976,106.47392916460274,iP04_iV05_iQ03_iX18__P-825m_Q+0m_V+1100m_xi+7895md.csv
Y11,-0.825,0.0,1.1,10.0,896.5716843202991,66.6166323178138,iP04_iV05_iQ03_iX20__P-825m_Q+0m_V+1100m_xi+10000md.csv
Y11,-0.825,0.5,1.1,-10.0,595.8304427584222,44.27110307832504,iP04_iV05_iQ04_iX01__P-825m_Q+500m_V+1100m_xi-10000md.csv
Y11,-0.825,0.5,1.1,-8.947,714.0364770165402,53.053990210271806,iP04_iV05_iQ04_iX02__P-825m_Q+500m_V+1100m_xi-8947md.csv
Y11,-0.825,0.5,1.1,-7.895,872.8107561307088,64.85115936005458,iP04_iV05_iQ04_iX03__P-825m_Q+500m_V+1100m_xi-7895md.csv
Y11,-0.825,0.5,1.1,-5.789,1414.894186245144,105.1287781706762,iP04_iV05_iQ04_iX05__P-825m_Q+500m_V+1100m_xi-5789md.csv
Y11,-0.825,0.5,1.1,-6.842,1093.6384634643612,81.2589920331186,iP04_iV05_iQ04_iX04__P-825m_Q+500m_V+1100m_xi-6842md.csv
Y11,-0.825,0.5,1.1,-4.737,1911.4356348518,142.02255979878015,iP04_iV05_iQ04_iX06__P-825m_Q+500m_V+1100m_xi-4737md.csv
Y11,-0.825,0.5,1.1,-0.526,29976.12387472936,2227.270957679172,iP04_iV05_iQ04_iX10__P-825m_Q+500m_V+1100m_xi-526md.csv
Y11,-0.825,0.5,1.1,-3.684,2748.5519716993767,204.22157042594463,iP04_iV05_iQ04_iX07__P-825m_Q+500m_V+1100m_xi-3684md.csv
Y11,-0.825,0.5,1.1,-1.579,8420.419288048555,625.6498975863146,iP04_iV05_iQ04_iX09__P-825m_Q+500m_V+1100m_xi-1579md.csv
Y11,-0.825,0.5,1.1,-2.632,4367.487580322606,324.5109348530753,iP04_iV05_iQ04_iX08__P-825m_Q+500m_V+1100m_xi-2632md.csv
Y11,-0.825,0.5,1.1,0.526,-36876.53063585897,-2739.9823633526926,iP04_iV05_iQ04_iX11__P-825m_Q+500m_V+1100m_xi+526md.csv
Y11,-0.825,0.5,1.1,1.579,-15976.602636585214,-1187.085720394084,iP04_iV05_iQ04_iX12__P-825m_Q+500m_V+1100m_xi+1579md.csv
Y11,-0.825,0.5,1.1,3.684,-17131.690810949694,-1272.9106030125122,iP04_iV05_iQ04_iX14__P-825m_Q+500m_V+1100m_xi+3684md.csv
Y11,-0.825,0.5,1.1,2.632,-13695.9720467869,-1017.6314195978229,iP04_iV05_iQ04_iX13__P-825m_Q+500m_V+1100m_xi+2632md.csv
Y11,-0.825,0.5,1.1,4.737,-53524.34847224859,-3976.9391884626266,iP04_iV05_iQ04_iX15__P-825m_Q+500m_V+1100m_xi+4737md.csv
Y11,-0.825,0.5,1.1,5.789,21740.37588108995,1615.342850018447,iP04_iV05_iQ04_iX16__P-825m_Q+500m_V+1100m_xi+5789md.csv
Y11,-0.825,0.5,1.1,6.842,7375.581460954732,548.0168517517485,iP04_iV05_iQ04_iX17__P-825m_Q+500m_V+1100m_xi+6842md.csv
Y11,-0.825,0.5,1.1,7.895,4000.7771883672326,297.26379537723125,iP04_iV05_iQ04_iX18__P-825m_Q+500m_V+1100m_xi+7895md.csv
Y11,-0.825,0.5,1.1,8.947,2571.0263627853374,191.03114786954555,iP04_iV05_iQ04_iX19__P-825m_Q+500m_V+1100m_xi+8947md.csv
Y11,-0.825,1.0,1.1,-8.947,524.5879202740712,38.97767589181103,iP04_iV05_iQ05_iX02__P-825m_Q+1000m_V+1100m_xi-8947md.csv
Y11,-0.825,1.0,1.1,-7.895,627.5061495526608,46.62465607409384,iP04_iV05_iQ05_iX03__P-825m_Q+1000m_V+1100m_xi-7895md.csv
Y11,-0.825,0.5,1.1,10.0,1810.315901508751,134.5092099611699,iP04_iV05_iQ04_iX20__P-825m_Q+500m_V+1100m_xi+10000md.csv
Y11,-0.825,1.0,1.1,-5.789,964.1794552864128,71.63999159616797,iP04_iV05_iQ05_iX05__P-825m_Q+1000m_V+1100m_xi-5789md.csv
Y11,-0.825,1.0,1.1,-6.842,767.0022223373253,56.98942525998086,iP04_iV05_iQ05_iX04__P-825m_Q+1000m_V+1100m_xi-6842md.csv
Y11,-0.825,1.0,1.1,-3.684,1739.3491731300885,129.23627414454276,iP04_iV05_iQ05_iX07__P-825m_Q+1000m_V+1100m_xi-3684md.csv
Y11,-0.825,1.0,1.1,-10.0,446.1696617369609,33.151080656163856,iP04_iV05_iQ05_iX01__P-825m_Q+1000m_V+1100m_xi-10000md.csv
Y11,-0.825,1.0,1.1,-4.737,1259.2998960633383,93.5678873040665,iP04_iV05_iQ05_iX06__P-825m_Q+1000m_V+1100m_xi-4737md.csv
Y11,-0.825,1.0,1.1,-1.579,4774.770125571673,354.77264485321143,iP04_iV05_iQ05_iX09__P-825m_Q+1000m_V+1100m_xi-1579md.csv
Y11,-0.825,1.0,1.1,-2.632,2631.8980767358,195.554010110164,iP04_iV05_iQ05_iX08__P-825m_Q+1000m_V+1100m_xi-2632md.csv
Y11,-0.825,1.0,1.1,-0.526,15723.657258435014,1168.2915855796198,iP04_iV05_iQ05_iX10__P-825m_Q+1000m_V+1100m_xi-526md.csv
Y11,-0.825,1.0,1.1,0.526,-17434.879980777387,-1295.437895741062,iP04_iV05_iQ05_iX11__P-825m_Q+1000m_V+1100m_xi+526md.csv
Y11,-0.825,1.0,1.1,1.579,-6524.574248867267,-484.78574473086894,iP04_iV05_iQ05_iX12__P-825m_Q+1000m_V+1100m_xi+1579md.csv
