Element,P,Q,V,xi,R,L,Filename
Y11,-0.3,-0.5,0.9,8.947,493.7797537031195,36.24050571454077,iP01_iV01_iQ02_iX19__P-300m_Q-500m_V+900m_xi+8947md.csv
Y11,-0.3,-0.5,0.9,10.0,427.96397948321817,31.410018112998248,iP01_iV01_iQ02_iX20__P-300m_Q-500m_V+900m_xi+10000md.csv
Y11,-0.3,0.0,0.9,-10.0,1299.572173484638,95.38089058353204,iP01_iV01_iQ03_iX01__P-300m_Q+0m_V+900m_xi-10000md.csv
Y11,-0.3,0.0,0.9,-6.842,2761.0357277358708,202.64364851469048,iP01_iV01_iQ03_iX04__P-300m_Q+0m_V+900m_xi-6842md.csv
Y11,-0.3,0.0,0.9,-7.895,2077.1173798174696,152.44809765980446,iP01_iV01_iQ03_iX03__P-300m_Q+0m_V+900m_xi-7895md.csv
Y11,-0.3,0.0,0.9,-8.947,1620.0506560957522,118.902109992653,iP01_iV01_iQ03_iX02__P-300m_Q+0m_V+900m_xi-8947md.csv
Y11,-0.3,0.0,0.9,-4.737,5746.428833579774,421.7538002469981,iP01_iV01_iQ03_iX06__P-300m_Q+0m_V+900m_xi-4737md.csv
Y11,-0.3,0.0,0.9,-5.789,3851.115870978073,282.6490682329276,iP01_iV01_iQ03_iX05__P-300m_Q+0m_V+900m_xi-5789md.csv
Y11,-0.3,0.0,0.9,-3.684,9490.649668263926,696.5574072765938,iP01_iV01_iQ03_iX07__P-300m_Q+0m_V+900m_xi-3684md.csv
Y11,-0.3,0.0,0.9,-2.632,18589.11755132116,1364.3309955028124,iP01_iV01_iQ03_iX08__P-300m_Q+0m_V+900m_xi-2632md.csv
Y11,-0.3,0.0,0.9,-0.526,464402.271663448,34084.32100372385,iP01_iV01_iQ03_iX10__P-300m_Q+0m_V+900m_xi-526md.csv
Y11,-0.3,0.0,0.9,1.579,51613.173474384304,3788.100741479582,iP01_iV01_iQ03_iX12__P-300m_Q+0m_V+900m_xi+1579md.csv
Y11,-0.3,0.0,0.9,-1.579,51613.173474384304,3788.100741479582,iP01_iV01_iQ03_iX09__P-300m_Q+0m_V+900m_xi-1579md.csv
Y11,-0.3,0.0,0.9,0.526,464402.271663448,34084.32100372385,iP01_iV01_iQ03_iX11__P-300m_Q+0m_V+900m_xi+526md.csv
Y11,-0.3,0.0,0.9,2.632,18589.11755132116,1364.3309955028124,iP01_iV01_iQ03_iX13__P-300m_Q+0m_V+900m_xi+2632md.csv
Y11,-0.3,0.0,0.9,4.737,5746.428833579774,421.7538002469981,iP01_iV01_iQ03_iX15__P-300m_Q+0m_V+900m_xi+4737md.csv
Y11,-0.3,0.0,0.9,3.684,9490.649668263926,696.5574072765938,iP01_iV01_iQ03_iX14__P-300m_Q+0m_V+900m_xi+3684md.csv
Y11,-0.3,0.0,0.9,5.789,3851.115870978073,282.6490682329276,iP01_iV01_iQ03_iX16__P-300m_Q+0m_V+900m_xi+5789md.csv
Y11,-0.3,0.0,0.9,6.842,2761.0357277358708,202.64364851469048,iP01_iV01_iQ03_iX17__P-300m_Q+0m_V+900m_xi+6842md.csv
Y11,-0.3,0.0,0.9,7.895,2077.1173798174696,152.44809765980446,iP01_iV01_iQ03_iX18__P-300m_Q+0m_V+900m_xi+7895md.csv
Y11,-0.3,0.5,0.9,-8.947,493.7797537031195,36.24050571454077,iP01_iV01_iQ04_iX02__P-300m_Q+500m_V+900m_xi-8947md.csv
Y11,-0.3,0.5,0.9,-10.0,427.96397948321817,31.410018112998248,iP01_iV01_iQ04_iX01__P-300m_Q+500m_V+900m_xi-10000md.csv
